Date, Open, High, Low, Close, Volume
2025-12-05,41.53,41.615,41.35,41.41,1761686
2025-12-04,41.26,41.28,41.075,41.14,1576753
2025-12-03,40.82,41.02,40.775,40.95,3088196
2025-12-02,40.83,40.945,40.75,40.89,1786620
2025-12-01,40.6,40.715,40.51,40.52,1924760
2025-11-28,40.74,40.92,40.7037,40.92,1289350
2025-11-26,40.25,40.64,40.2425,40.6,1644009
2025-11-25,39.88,40.2452,39.725,40.19,1483309
2025-11-24,39.49,39.6218,39.365,39.47,1394836
2025-11-21,39.32,39.52,39.045,39.4,1597580
2025-11-20,39.74,39.88,38.865,38.89,2224394
2025-11-19,39.65,39.78,39.3208,39.51,1471378
2025-11-18,39.55,39.69,39.3999,39.53,2339995
2025-11-17,40.34,40.43,39.84,40.01,1716752
2025-11-14,40.62,40.9115,40.6,40.86,2265634
2025-11-13,41.46,41.51,41.03,41.25,4326724
2025-11-12,41.47,41.7,41.46,41.68,1261320
2025-11-11,41.06,41.275,41.06,41.23,2071737
2025-11-10,40.84,40.98,40.705,40.96,1484153
2025-11-07,40.07,40.49,39.97,40.48,2132241
2025-11-06,40.67,40.7,40.2345,40.39,2667191
2025-11-05,40.39,40.78,40.39,40.73,1672688
2025-11-04,40.3,40.5155,40.255,40.34,6831268
2025-11-03,40.99,41.005,40.855,40.91,2046100
2025-10-31,40.8,40.8,40.55,40.73,1590339
2025-10-30,40.96,41.16,40.96,41.0,1934134
2025-10-29,41.66,41.68,41.06,41.27,3329043
2025-10-28,41.79,41.9,41.695,41.72,1583024
2025-10-27,41.67,41.81,41.595,41.78,1370068
2025-10-24,41.65,41.69,41.51,41.59,1836620
2025-10-23,41.32,41.575,41.32,41.55,2269725
2025-10-22,41.59,41.6,41.215,41.44,2046399
2025-10-21,41.64,41.85,41.55,41.69,2593853
2025-10-20,41.73,41.9163,41.695,41.88,1956587
2025-10-17,41.2,41.405,41.0985,41.38,2717074
2025-10-16,41.64,41.8635,41.52,41.59,2469863
2025-10-15,41.58,41.73,41.2899,41.53,2847196
2025-10-14,41.38,41.78,41.31,41.67,2740767
2025-10-13,41.58,41.8275,41.52,41.78,1946491
2025-10-10,42.26,42.26,41.51,41.52,2642336
2025-10-09,42.43,42.56,41.9816,42.09,2417219
2025-10-08,42.28,42.42,42.21,42.34,2031223
2025-10-07,42.25,42.275,42.045,42.07,1400572
2025-10-06,42.45,42.4725,42.295,42.42,2133094
2025-10-03,42.38,42.4799,42.2946,42.43,1461029
