Date,Open,High,Low,Close,Volume
2025-12-05,22.09,22.1258,22.02,22.05,1453466
2025-12-04,22.11,22.14,22.06,22.08,1492721
2025-12-03,22.11,22.25,22.095,22.23,2296930
2025-12-02,22.26,22.26,22.1,22.18,2048900
2025-12-01,22.23,22.315,22.21,22.26,1931060
2025-11-28,22.18,22.2475,22.16,22.24,1071780
2025-11-26,22.09,22.17,21.99,22.16,2349774
2025-11-25,22.03,22.205,22.0,22.15,2298211
2025-11-24,21.98,22.1351,21.98,22.13,1513706
2025-11-21,21.55,21.813,21.5094,21.7,3296723
2025-11-20,22.13,22.145,21.61,21.64,3721692
2025-11-19,22.01,22.045,21.845,21.89,2652530
2025-11-18,22.11,22.19,22.055,22.08,3211833
2025-11-17,22.45,22.56,22.31,22.36,3189304
2025-11-14,22.66,22.86,22.66,22.77,3349603
2025-11-13,23.07,23.07,22.77,22.89,3610851
2025-11-12,23.07,23.14,22.995,23.14,2608696
2025-11-11,22.73,22.84,22.72,22.82,2842960
2025-11-10,22.5,22.6151,22.39,22.58,2512500
2025-11-07,22.17,22.32,22.05,22.28,2659820
2025-11-06,22.25,22.375,22.1845,22.2,3101345
2025-11-05,21.96,22.1099,21.9,22.09,2002879
2025-11-04,21.9,21.985,21.85,21.86,2323843
2025-11-03,21.985,22.01,21.8801,22.0,2077314
2025-10-31,21.52,21.58,21.41,21.54,2248711
2025-10-30,21.45,21.51,21.4007,21.44,2760444
2025-10-29,21.97,22.05,21.885,21.94,2228911
2025-10-28,21.77,21.93,21.675,21.88,3568313
2025-10-27,21.61,21.66,21.57,21.62,3248986
2025-10-24,21.4,21.47,21.395,21.41,2592732
2025-10-23,21.12,21.31,21.12,21.22,1836534
2025-10-22,21.005,21.11,20.89,21.03,3800958
2025-10-21,21.38,21.38,21.23,21.31,2485676
2025-10-20,21.23,21.515,21.23,21.42,4200031
2025-10-17,20.9,21.21,20.895,21.19,4839009
2025-10-16,20.97,21.055,20.92,20.99,4351100
2025-10-15,21.11,21.185,20.925,21.09,4542092
2025-10-14,20.79,21.135,20.78,21.06,5539764
2025-10-13,21.19,21.215,21.085,21.1,5679975
2025-10-10,21.62,21.6301,20.6,20.66,11106570
2025-10-09,21.81,21.81,21.49,21.56,4207715
2025-10-08,21.45,21.54,21.41,21.54,2684250
2025-10-07,21.54,21.5867,21.4,21.41,3050187
2025-10-06,21.51,21.59,21.48,21.54,2448743
2025-10-03,21.53,21.58,21.465,21.56,1947363
2025-10-02,21.77,21.77,21.575,21.6,3232458
2025-10-01,21.52,21.67,21.52,21.67,3301945
2025-09-30,21.52,21.57,21.4849,21.55,3067343
2025-09-29,21.54,21.58,21.495,21.5,2676010
2025-09-26,21.1,21.145,21.03,21.11,2416993
2025-09-25,21.04,21.11,20.98,21.0,2359241
2025-09-24,21.11,21.14,21.07,21.08,2842398
2025-09-23,21.21,21.2478,21.16,21.18,2697215
2025-09-22,21.4,21.4,21.32,21.38,2455021
