Date, Open, High, Low, Close, Volume
2025-12-05,43.42,43.47,43.1633,43.22,2401871.0
2025-12-04,43.44,43.61,43.3698,43.42,1479469.0
2025-12-03,43.23,43.48,43.23,43.46,1939457.0
2025-12-02,43.02,43.045,42.85,43.01,2388104.0
2025-12-01,43.17,43.24,42.905,42.93,2584260.0
2025-11-28,43.04,43.215,43.01,43.15,718186.0
2025-11-26,42.78,43.05,42.76,42.99,2168894.0
2025-11-25,42.25,42.5651,42.2,42.52,1848548.0
2025-11-24,41.89,41.985,41.7114,41.92,3229940.0
2025-11-21,41.73,42.13,41.67,42.06,2708293.0
2025-11-20,42.06,42.095,41.33,41.34,3833947.0
2025-11-19,41.88,41.99,41.6085,41.73,2313729.0
2025-11-18,42.02,42.26,41.895,42.19,1494893.0
2025-11-17,42.76,42.815,42.33,42.44,2432279.0
2025-11-14,42.58,42.83,42.55,42.77,2719505.0
2025-11-13,43.37,43.425,43.01,43.04,3764977.0
2025-11-12,43.41,43.585,43.41,43.51,2186275.0
2025-11-11,43.54,43.7241,43.54,43.65,2524626.0
2025-11-10,43.1,43.44,43.015,43.44,2389957.0
2025-11-07,42.39,42.88,42.37,42.87,1180893.0
2025-11-06,42.64,42.76,42.5601,42.62,1679439.0
2025-11-05,42.4,42.665,42.375,42.61,1813214.0
2025-11-04,42.04,42.3465,42.035,42.18,2404308.0
2025-11-03,42.57,42.57,42.42,42.53,1887702.0
2025-10-31,42.54,42.7,42.4387,42.67,1638046.0
2025-10-30,42.57,42.885,42.53,42.75,2513643.0
2025-10-29,43.07,43.1315,42.675,42.83,2137710.0
2025-10-28,42.98,43.054,42.84,42.92,2097205.0
2025-10-27,42.97,42.9885,42.7985,42.98,1636641.0
2025-10-24,42.69,42.82,42.635,42.78,2594252.0
2025-10-23,42.63,42.71,42.4805,42.6,2214681.0
2025-10-22,42.28,42.515,42.21,42.41,5507857.0
2025-10-21,42.13,42.1472,41.96,41.96,1816583.0
2025-10-20,42.05,42.2,42.03,42.16,1964974.0
2025-10-17,41.85,42.085,41.77,42.07,3079977.0
2025-10-16,42.11,42.2672,41.9,41.99,1680000.0
2025-10-15,41.89,42.16,41.82,42.02,1990788.0
2025-10-14,41.7,42.1701,41.69,42.06,2859097.0
2025-10-13,41.85,42.05,41.815,41.99,3744783.0
2025-10-10,42.1,42.135,41.685,41.73,2576145.0
2025-10-09,42.48,42.5,41.98,42.07,2531300.0
2025-10-08,42.79,42.79,42.575,42.68,1678458.0
2025-10-07,42.46,42.56,42.39,42.45,2621201.0
2025-10-06,42.62,42.65,42.545,42.58,1884202.0
2025-10-03,42.52,42.6859,42.48,42.64,2144555.0
2025-10-02,42.34,42.39,42.1,42.26,2466142.0
2025-10-01,42.42,42.545,42.415,42.5,3815537.0
2025-09-30,41.7,42.0163,41.695,41.97,2742220.0
2025-09-29,41.69,41.73,41.51,41.63,2436497.0
2025-09-26,41.34,41.59,41.34,41.58,2539950.0
2025-09-25,41.14,41.18,40.88,41.04,2949672.0
2025-09-24,41.35,41.53,41.315,41.35,2476502.0
2025-09-23,41.66,41.72,41.395,41.47,2275529.0
2025-09-22,41.5,41.64,41.41,41.61,1980573.0
2025-09-19,41.49,41.535,41.32,41.36,2398053.0
2025-09-18,41.72,41.77,41.545,41.66,2027028.0
2025-09-17,41.97,42.125,41.68,41.79,1987900.0
2025-09-16,41.98,41.99,41.785,41.89,2276387.0
2025-09-15,42.04,42.115,41.96,42.09,1889278.0
2025-09-12,42.12,42.2,41.85,41.94,4150291.0
2025-09-11,41.78,42.22,41.78,42.19,3199310.0
2025-09-10,41.71,41.8499,41.665,41.74,1479466.0
2025-09-09,41.73,41.805,41.66,41.75,1438166.0
2025-09-08,41.63,41.725,41.47,41.71,1001934.0
2025-09-05,41.69,41.785,41.4499,41.55,2393302.0
2025-09-04,41.28,41.39,41.245,41.39,2147120.0
2025-09-03,40.97,41.195,40.925,41.18,3743796.0
2025-09-02,40.69,41.02,40.67,40.9,2738424.0
2025-08-29,41.33,41.485,41.33,41.46,1855379.0
2025-08-28,41.56,41.615,41.425,41.57,2017745.0
2025-08-27,41.44,41.68,41.3902,41.66,1039812.0
2025-08-26,41.7,41.765,41.58,41.74,2477579.0
2025-08-25,41.91,42.07,41.77,41.79,2242663.0
2025-08-22,41.78,42.15,41.77,42.08,2308985.0
2025-08-21,41.61,41.705,41.54,41.66,3548579.0
2025-08-20,41.57,41.775,41.57,41.72,1630653.0
2025-08-19,41.27,41.365,41.1857,41.29,2562353.0
2025-08-18,41.18,41.295,41.11,41.29,482508.0
2025-08-15,41.36,41.425,41.23,41.27,1747831.0
2025-08-14,41.31,41.53,41.26,41.5,1153094.0
2025-08-13,41.17,41.39,41.145,41.36,1672811.0
2025-08-12,40.8,41.055,40.77,41.03,856496.0
2025-08-11,40.62,40.67,40.525,40.64,765501.0
2025-08-08,40.52,40.615,40.45,40.53,1463678.0
2025-08-07,40.52,40.57,40.36,40.49,1056614.0
2025-08-06,40.38,40.47,40.365,40.38,963696.0
2025-08-05,40.3,40.33,40.1318,40.23,889417.0
2025-08-04,40.1,40.22,40.03,40.21,2097732.0
2025-08-01,39.85,39.985,39.605,39.94,2298516.0
2025-07-31,39.93,40.05,39.76,39.81,1763200.0
2025-07-30,40.16,40.265,39.88,40.04,1585580.0
2025-07-29,40.25,40.42,40.24,40.39,1284734.0
2025-07-28,40.38,40.38,40.04,40.12,1748215.0
2025-07-25,40.47,40.64,40.3801,40.64,1568329.0
2025-07-24,40.92,41.0,40.77,40.77,852682.0
2025-07-23,40.51,40.91,40.48,40.9,1526778.0
2025-07-22,40.14,40.45,40.14,40.43,1224807.0
2025-07-21,39.99,40.19,39.92,40.01,1074663.0
2025-07-18,40.0,40.0,39.755,39.8,4290005.0
2025-07-17,39.68,39.835,39.615,39.83,1993912.0
2025-07-16,39.64,39.855,39.57,39.85,1596513.0
2025-07-15,39.99,39.99,39.54,39.59,882611.0
2025-07-14,39.95,40.055,39.9101,40.03,843563.0
2025-07-11,39.94,40.0,39.8151,39.92,1688681.0
2025-07-10,40.07,40.33,40.025,40.27,2046082.0
2025-07-09,39.84,40.01,39.765,40.01,1332215.0
2025-07-08,39.48,39.86,39.445,39.79,1541306.0
2025-07-07,39.68,39.74,39.375,39.42,726779.0
2025-07-03,39.77,39.83,39.66,39.82,1876090.0
2025-07-02,39.35,39.62,39.23,39.61,3736432.0
2025-07-01,39.66,39.91,39.635,39.85,889816.0
2025-06-30,39.64,39.76,39.575,39.72,786178.0
2025-06-27,39.77,39.865,39.595,39.72,3613714.0
2025-06-26,39.66,39.74,39.59,39.69,1643084.0
2025-06-25,39.26,39.335,39.15,39.28,1435263.0
2025-06-24,39.42,39.56,39.33,39.41,872639.0
2025-06-23,38.74,39.205,38.74,39.17,1497744.0
2025-06-20,39.45,39.9,38.88,38.9,1369962.0
2025-06-18,39.27,39.43,39.13,39.22,5070177.0
2025-06-17,39.57,39.58,39.18,39.2,1103534.0
2025-06-16,39.87,39.99,39.62,39.62,1572208.0
2025-06-13,40.42,40.63,40.345,40.42,981064.0
2025-06-12,40.71,40.78,40.61,40.78,586375.0
2025-06-11,40.34,40.525,40.33,40.41,2035283.0
2025-06-10,40.49,40.5,40.255,40.31,826892.0
2025-06-09,40.22,40.465,40.21,40.34,615216.0
2025-06-06,40.22,40.37,40.22,40.35,445211.0
2025-06-05,40.41,40.41,40.15,40.22,766257.0
2025-06-04,40.14,40.335,40.14,40.19,891064.0
2025-06-03,40.02,40.12,39.905,40.06,545650.0
2025-06-02,40.02,40.29,39.825,40.29,1925561.0
2025-05-30,39.86,39.99,39.685,39.92,1290789.0
2025-05-29,39.71,39.79,39.53,39.79,1016701.0
2025-05-28,39.74,39.76,39.55,39.67,1690037.0
2025-05-27,40.11,40.16,39.94,40.07,677250.0
2025-05-23,39.43,39.89,39.43,39.88,786370.0
2025-05-22,39.38,39.67,39.27,39.53,657170.0
2025-05-21,39.78,39.83,39.43,39.43,830192.0
2025-05-20,39.44,39.65,39.43,39.61,904968.0
2025-05-19,38.93,39.34,38.93,39.33,705368.0
2025-05-16,38.76,38.935,38.725,38.9,547640.0
2025-05-15,38.56,38.8,38.49,38.8,1368783.0
2025-05-14,38.47,38.495,38.2,38.25,6528265.0
2025-05-13,38.32,38.475,38.2,38.42,2552025.0
2025-05-12,38.16,38.29,38.02,38.24,1543974.0
2025-05-09,38.35,38.35,38.16,38.29,2684184.0
2025-05-08,38.43,38.43,38.09,38.11,746529.0
2025-05-07,38.43,38.565,38.335,38.43,977698.0
2025-05-06,38.75,38.8,38.555,38.57,1471696.0
2025-05-05,38.65,38.78,38.525,38.64,3374596.0
2025-05-02,38.55,38.665,38.41,38.6,1023551.0
2025-05-01,38.07,38.07,37.78,37.88,1671349.0
2025-04-30,38.07,38.24,37.85,38.1,1242551.0
2025-04-29,38.21,38.415,38.15,38.35,778326.0
2025-04-28,38.02,38.205,37.955,38.19,800972.0
2025-04-25,37.82,37.94,37.6799,37.94,844788.0
2025-04-24,37.6,37.915,37.49,37.89,762185.0
2025-04-23,37.66,37.93,37.44,37.55,2882873.0
2025-04-22,37.33,37.74,37.33,37.58,2635994.0
2025-04-21,37.11,37.13,36.57,36.82,1954138.0
2025-04-17,36.79,37.24,36.77,36.97,1428036.0
2025-04-16,36.66,36.92,36.43,36.55,1045829.0
2025-04-15,36.55,36.83,36.52,36.65,1809691.0
2025-04-14,35.82,36.3399,35.79,36.15,5643161.0
2025-04-11,34.87,35.71,34.825,35.57,3377658.0
2025-04-10,34.8,34.8109,33.9,34.67,2884339.0
2025-04-09,33.03,35.29,32.76,35.11,2635232.0
2025-04-08,34.23,34.32,32.855,33.19,3089343.0
2025-04-07,33.2,34.57,32.86,33.29,6283558.0
2025-04-04,35.7,35.85,34.59,34.62,5648192.0
2025-04-03,37.55,37.665,37.27,37.28,1340918.0
2025-04-02,37.31,37.62,37.275,37.61,1015202.0
2025-04-01,37.46,37.6,37.225,37.44,1583337.0
2025-03-31,37.18,37.545,37.15,37.47,1214341.0
2025-03-28,37.79,37.81,37.575,37.59,1198649.0
2025-03-27,37.46,37.725,37.455,37.66,1030898.0
2025-03-26,37.52,37.7051,37.44,37.51,1335146.0
2025-03-25,37.8,37.915,37.59,37.64,992827.0
2025-03-24,37.54,37.6051,37.375,37.53,847488.0
2025-03-21,37.51,37.57,37.395,37.53,600271.0
2025-03-20,37.74,37.9,37.71,37.88,549495.0
2025-03-19,37.84,38.1,37.76,37.99,1320253.0
2025-03-18,37.95,38.0,37.805,37.95,762095.0
2025-03-17,37.7,38.01,37.69,37.97,645665.0
2025-03-14,37.32,37.71,37.26,37.71,804131.0
2025-03-13,37.07,37.21,36.965,37.13,1355212.0
2025-03-12,37.03,37.2259,36.875,37.12,1457481.0
2025-03-11,37.02,37.12,36.715,36.96,2213669.0
2025-03-10,37.28,37.43,36.77,37.05,1355950.0
2025-03-07,37.46,37.87,37.42,37.83,1874403.0
2025-03-06,37.29,37.595,37.225,37.25,3949365.0
2025-03-05,37.63,38.03,37.57,37.92,3049676.0
2025-03-04,37.33,37.91,37.135,37.55,2081347.0
2025-03-03,37.63,37.77,37.195,37.42,3467784.0
2025-02-28,36.99,37.085,36.755,37.04,2904546.0
2025-02-27,36.88,36.975,36.6933,36.7,1139292.0
2025-02-26,36.78,37.0,36.695,36.75,2234359.0
2025-02-25,36.83,36.85,36.55,36.72,2507914.0
2025-02-24,36.48,36.5557,36.26,36.39,1555952.0
2025-02-21,36.58,36.59,36.295,36.36,3018299.0
2025-02-20,36.56,36.62,36.5032,36.55,4916243.0
2025-02-19,36.53,36.655,36.425,36.64,1362070.0
2025-02-18,36.86,36.945,36.765,36.85,1424385.0
2025-02-14,36.75,36.81,36.5229,36.55,599582.0
2025-02-13,36.37,36.66,36.31,36.65,2482452.0
2025-02-12,36.29,36.69,36.27,36.57,2434052.0
2025-02-11,36.17,36.495,36.105,36.46,4601753.0
2025-02-10,36.11,36.195,36.08,36.17,589855.0
2025-02-07,36.12,36.13,35.8,35.89,660126.0
2025-02-06,36.1,36.165,35.95,36.06,622155.0
2025-02-05,35.83,36.04,35.7501,36.04,842158.0
2025-02-04,35.43,35.6,35.36,35.54,1004570.0
2025-02-03,35.12,35.48,34.995,35.28,1955711.0
2025-01-31,35.78,35.975,35.555,35.61,1844668.0
2025-01-30,35.65,35.935,35.64,35.79,840915.0
2025-01-29,35.3,35.455,35.195,35.27,822856.0
2025-01-28,35.45,35.48,35.2,35.33,578964.0
2025-01-27,35.26,35.43,35.25,35.41,2381365.0
2025-01-24,35.23,35.29,35.12,35.17,559566.0
2025-01-23,35.14,35.2,34.98,35.16,778203.0
2025-01-22,35.1,35.1,34.85,34.9,722932.0
2025-01-21,34.88,35.18,34.81,35.18,1378078.0
2025-01-17,34.5,34.72,34.36,34.38,891506.0
2025-01-16,33.96,34.29,33.925,34.28,2994377.0
2025-01-15,33.82,33.93,33.73,33.9,3100470.0
2025-01-14,33.27,33.465,33.205,33.37,3224429.0
2025-01-13,33.07,33.39,33.0551,33.39,5156952.0
2025-01-10,33.8,33.81,33.445,33.49,1524179.0
2025-01-08,33.74,33.97,33.64,33.97,1130900.0
2025-01-07,34.29,34.36,34.1,34.16,1460811.0
2025-01-06,34.09,34.355,34.07,34.13,1091259.0
2025-01-03,34.04,34.045,33.85,33.97,805425.0
2025-01-02,33.95,34.035,33.745,33.82,1620289.0
2024-12-31,34.03,34.09,33.845,33.9,1135378.0
2024-12-30,33.91,33.955,33.66,33.85,1235713.0
2024-12-27,33.89,34.08,33.855,33.96,1342993.0
2024-12-26,34.06,34.1799,33.98,34.1,1190683.0
2024-12-24,33.9,34.09,33.85,34.07,620631.0
2024-12-23,33.73,33.91,33.565,33.85,1277233.0
2024-12-20,33.4,33.9285,33.39,33.69,1742554.0
2024-12-19,33.94,33.94,33.67,33.67,1208739.0
