Date, Open, High, Low, Close, Volume
12/05/25, 41.53, 41.615, 41.35, 41.41, 1761686
12/04/25, 41.26, 41.28, 41.075, 41.14, 1576753
12/03/25, 40.82, 41.02, 40.775, 40.95, 3088196
12/02/25, 40.83, 40.945, 40.75, 40.89, 1786620
12/01/25, 40.60, 40.715, 40.51, 40.52, 1924760
11/28/25, 40.74, 40.92, 40.7037, 40.92, 1289350
11/26/25, 40.25, 40.64, 40.2425, 40.60, 1644009
11/25/25, 39.88, 40.2452, 39.725, 40.19, 1483309
11/24/25, 39.49, 39.6218, 39.365, 39.47, 1394836
11/21/25, 39.32, 39.52, 39.045, 39.40, 1597580
11/20/25, 39.74, 39.88, 38.865, 38.89, 2224394
11/19/25, 39.65, 39.78, 39.3208, 39.51, 1471378
11/18/25, 39.55, 39.69, 39.3999, 39.53, 2339995
11/17/25, 40.34, 40.43, 39.84, 40.01, 1716752
11/14/25, 40.62, 40.9115, 40.60, 40.86, 2265634
11/13/25, 41.46, 41.51, 41.03, 41.25, 4326724
11/12/25, 41.47, 41.70, 41.46, 41.68, 1261320
11/11/25, 41.06, 41.275, 41.06, 41.23, 2071737
11/10/25, 40.84, 40.98, 40.705, 40.96, 1484153
11/07/25, 40.07, 40.49, 39.97, 40.48, 2132241
11/06/25, 40.67, 40.70, 40.2345, 40.39, 2667191
11/05/25, 40.39, 40.78, 40.39, 40.73, 1672688
11/04/25, 40.30, 40.5155, 40.255, 40.34, 6831268
11/03/25, 40.99, 41.005, 40.855, 40.91, 2046100
10/31/25, 40.80, 40.80, 40.55, 40.73, 1590339
10/30/25, 40.96, 41.16, 40.96, 41.00, 1934134
10/29/25, 41.66, 41.68, 41.06, 41.27, 3329043
10/28/25, 41.79, 41.90, 41.695, 41.72, 1583024
10/27/25, 41.67, 41.81, 41.595, 41.78, 1370068
10/24/25, 41.65, 41.69, 41.51, 41.59, 1836620
10/23/25, 41.32, 41.575, 41.32, 41.55, 2269725
10/22/25, 41.59, 41.60, 41.215, 41.44, 2046399
10/21/25, 41.64, 41.85, 41.55, 41.69, 2593853
10/20/25, 41.73, 41.9163, 41.695, 41.88, 1956587
10/17/25, 41.20, 41.405, 41.0985, 41.38, 2717074
10/16/25, 41.64, 41.8635, 41.52, 41.59, 2469863
10/15/25, 41.58, 41.73, 41.2899, 41.53, 2847196
10/14/25, 41.38, 41.78, 41.31, 41.67, 2740767
10/13/25, 41.58, 41.8275, 41.52, 41.78, 1946491
10/10/25, 42.26, 42.26, 41.51, 41.52, 2642336
10/09/25, 42.43, 42.56, 41.9816, 42.09, 2417219
10/08/25, 42.28, 42.42, 42.21, 42.34, 2031223
10/07/25, 42.25, 42.275, 42.045, 42.07, 1400572
10/06/25, 42.45, 42.4725, 42.295, 42.42, 2133094
10/03/25, 42.38, 42.4799, 42.2946, 42.43, 1461029
10/02/25, 42.55, 42.6102, 42.275, 42.47, 2198755
10/01/25, 41.84, 42.205, 41.81, 42.13, 2286821
09/30/25, 41.36, 41.665, 41.35, 41.61, 2173846
09/29/25, 41.23, 41.355, 41.20, 41.31, 2822863
09/26/25, 41.06, 41.22, 41.0235, 41.20, 2294524
09/25/25, 40.70, 40.80, 40.535, 40.75, 2866611
09/24/25, 41.22, 41.34, 41.15, 41.24, 2282865
09/23/25, 41.30, 41.41, 41.165, 41.27, 3737875
09/22/25, 40.99, 41.27, 40.92, 41.24, 2669082
09/19/25, 41.25, 41.345, 41.155, 41.22, 2925233
09/18/25, 41.27, 41.5399, 41.17, 41.45, 5658966
09/17/25, 41.18, 41.44, 40.92, 41.06, 2659158
09/16/25, 41.27, 41.27, 40.94, 41.15, 2952803
09/15/25, 41.32, 41.48, 41.26, 41.42, 4993756
09/12/25, 41.22, 41.36, 41.1935, 41.31, 1610471
09/11/25, 41.19, 41.44, 41.1798, 41.39, 2503463
09/10/25, 41.32, 41.37, 41.02, 41.07, 2588893
09/09/25, 41.40, 41.515, 41.35, 41.48, 1616204
09/08/25, 41.50, 41.71, 41.50, 41.69, 1512276
09/05/25, 41.52, 41.585, 41.20, 41.34, 1639724
09/04/25, 41.21, 41.345, 41.14, 41.34, 2721733
09/03/25, 40.98, 41.1301, 40.905, 41.05, 2549887
09/02/25, 40.97, 41.23, 40.835, 41.04, 3236539
08/29/25, 41.90, 41.9333, 41.755, 41.88, 1715795
08/28/25, 42.00, 42.085, 41.915, 42.02, 2237108
08/27/25, 41.72, 41.905, 41.54, 41.89, 1166878
08/26/25, 42.20, 42.315, 42.07, 42.13, 3013373
08/25/25, 42.61, 42.61, 42.11, 42.12, 1707406
