Date, Open, High, Low, Close, Volume
12/05/25, 22.09, 22.1258, 22.02, 22.05, 1453466
12/04/25, 22.11, 22.14, 22.06, 22.08, 1492721
12/03/25, 22.11, 22.25, 22.095, 22.23, 2296930
12/02/25, 22.26, 22.26, 22.10, 22.18, 2048900
12/01/25, 22.23, 22.315, 22.21, 22.26, 1931060
11/28/25, 22.18, 22.2475, 22.16, 22.24, 1071780
11/26/25, 22.09, 22.17, 21.99, 22.16, 2349774
11/25/25, 22.03, 22.205, 22.00, 22.15, 2298211
11/24/25, 21.98, 22.1351, 21.98, 22.13, 1513706
11/21/25, 21.55, 21.813, 21.5094, 21.70, 3296723
11/20/25, 22.13, 22.145, 21.61, 21.64, 3721692
11/19/25, 22.01, 22.045, 21.845, 21.89, 2652530
11/18/25, 22.11, 22.19, 22.055, 22.08, 3211833
11/17/25, 22.45, 22.56, 22.31, 22.36, 3189304
11/14/25, 22.66, 22.86, 22.66, 22.77, 3349603
11/13/25, 23.07, 23.07, 22.77, 22.89, 3610851
11/12/25, 23.07, 23.14, 22.995, 23.14, 2608696
11/11/25, 22.73, 22.84, 22.72, 22.82, 2842960
11/10/25, 22.50, 22.6151, 22.39, 22.58, 2512500
11/07/25, 22.17, 22.32, 22.05, 22.28, 2659820
11/06/25, 22.25, 22.375, 22.1845, 22.20, 3101345
11/05/25, 21.96, 22.1099, 21.90, 22.09, 2002879
11/04/25, 21.90, 21.985, 21.85, 21.86, 2323843
11/03/25, 21.985, 22.01, 21.8801, 22.00, 2077314
10/31/25, 21.52, 21.58, 21.41, 21.54, 2248711
10/30/25, 21.45, 21.51, 21.4007, 21.44, 2760444
10/29/25, 21.97, 22.05, 21.885, 21.94, 2228911
10/28/25, 21.77, 21.93, 21.675, 21.88, 3568313
10/27/25, 21.61, 21.66, 21.57, 21.62, 3248986
10/24/25, 21.40, 21.47, 21.395, 21.41, 2592732
10/23/25, 21.12, 21.31, 21.12, 21.22, 1836534
10/22/25, 21.005, 21.11, 20.89, 21.03, 3800958
10/21/25, 21.38, 21.38, 21.23, 21.31, 2485676
10/20/25, 21.23, 21.515, 21.23, 21.42, 4200031
10/17/25, 20.90, 21.21, 20.895, 21.19, 4839009
10/16/25, 20.97, 21.055, 20.92, 20.99, 4351100
10/15/25, 21.11, 21.185, 20.925, 21.09, 4542092
10/14/25, 20.79, 21.135, 20.78, 21.06, 5539764
10/13/25, 21.19, 21.215, 21.085, 21.10, 5679975
10/10/25, 21.62, 21.6301, 20.60, 20.66, 11106570
10/09/25, 21.81, 21.81, 21.49, 21.56, 4207715
10/08/25, 21.45, 21.54, 21.41, 21.54, 2684250
10/07/25, 21.54, 21.5867, 21.40, 21.41, 3050187
10/06/25, 21.51, 21.59, 21.48, 21.54, 2448743
10/03/25, 21.53, 21.58, 21.465, 21.56, 1947363
10/02/25, 21.77, 21.77, 21.575, 21.60, 3232458
10/01/25, 21.52, 21.67, 21.52, 21.67, 3301945
09/30/25, 21.52, 21.57, 21.4849, 21.55, 3067343
09/29/25, 21.54, 21.58, 21.495, 21.50, 2676010
