Date, Open, High, Low, Close, Volume
12/05/25, 43.42, 43.47, 43.1633, 43.22, 2401871
12/04/25, 43.44, 43.61, 43.3698, 43.42, 1479469
12/03/25, 43.23, 43.48, 43.23, 43.46, 1939457
12/02/25, 43.02, 43.045, 42.85, 43.01, 2388104
12/01/25, 43.17, 43.24, 42.905, 42.93, 2584260
11/28/25, 43.04, 43.215, 43.01, 43.15, 718186
11/26/25, 42.78, 43.05, 42.76, 42.99, 2168894
11/25/25, 42.25, 42.5651, 42.20, 42.52, 1848548
11/24/25, 41.89, 41.985, 41.7114, 41.92, 3229940
11/21/25, 41.73, 42.13, 41.67, 42.06, 2708293
11/20/25, 42.06, 42.095, 41.33, 41.34, 3833947
11/19/25, 41.88, 41.99, 41.6085, 41.73, 2313729
11/18/25, 42.02, 42.26, 41.895, 42.19, 1494893
11/17/25, 42.76, 42.815, 42.33, 42.44, 2432279
11/14/25, 42.58, 42.83, 42.55, 42.77, 2719505
11/13/25, 43.37, 43.425, 43.01, 43.04, 3764977
11/12/25, 43.41, 43.585, 43.41, 43.51, 2186275
11/11/25, 43.54, 43.7241, 43.54, 43.65, 2524626
11/10/25, 43.10, 43.44, 43.015, 43.44, 2389957
11/07/25, 42.39, 42.88, 42.37, 42.87, 1180893
11/06/25, 42.64, 42.76, 42.5601, 42.62, 1679439
11/05/25, 42.40, 42.665, 42.375, 42.61, 1813214
11/04/25, 42.04, 42.3465, 42.035, 42.18, 2404308
11/03/25, 42.57, 42.57, 42.42, 42.53, 1887702
10/31/25, 42.54, 42.70, 42.4387, 42.67, 1638046
10/30/25, 42.57, 42.885, 42.53, 42.75, 2513643
10/29/25, 43.07, 43.1315, 42.675, 42.83, 2137710
10/28/25, 42.98, 43.054, 42.84, 42.92, 2097205
10/27/25, 42.97, 42.9885, 42.7985, 42.98, 1636641
10/24/25, 42.69, 42.82, 42.635, 42.78, 2594252
10/23/25, 42.63, 42.71, 42.4805, 42.60, 2214681
10/22/25, 42.28, 42.515, 42.21, 42.41, 5507857
10/21/25, 42.13, 42.1472, 41.96, 41.96, 1816583
10/20/25, 42.05, 42.20, 42.03, 42.16, 1964974
10/17/25, 41.85, 42.085, 41.77, 42.07, 3079977
10/16/25, 42.11, 42.2672, 41.90, 41.99, 1680000
10/15/25, 41.89, 42.16, 41.82, 42.02, 1990788
10/14/25, 41.70, 42.1701, 41.69, 42.06, 2859097
10/13/25, 41.85, 42.05, 41.815, 41.99, 3744783
10/10/25, 42.10, 42.135, 41.685, 41.73, 2576145
10/09/25, 42.48, 42.50, 41.98, 42.07, 2531300
10/08/25, 42.79, 42.79, 42.575, 42.68, 1678458
10/07/25, 42.46, 42.56, 42.39, 42.45, 2621201
10/06/25, 42.62, 42.65, 42.545, 42.58, 1884202
10/03/25, 42.52, 42.6859, 42.48, 42.64, 2144555
10/02/25, 42.34, 42.39, 42.10, 42.26, 2466142
10/01/25, 42.42, 42.545, 42.415, 42.50, 3815537
09/30/25, 41.70, 42.0163, 41.695, 41.97, 2742220
09/29/25, 41.69, 41.73, 41.51, 41.63, 2436497
09/26/25, 41.34, 41.59, 41.34, 41.58, 2539950
09/25/25, 41.14, 41.18, 40.88, 41.04, 2949672
09/24/25, 41.35, 41.53, 41.315, 41.35, 2476502
09/23/25, 41.66, 41.72, 41.395, 41.47, 2275529
09/22/25, 41.50, 41.64, 41.41, 41.61, 1980573
09/19/25, 41.49, 41.535, 41.32, 41.36, 2398053
09/18/25, 41.72, 41.77, 41.545, 41.66, 2027028
09/17/25, 41.97, 42.125, 41.68, 41.79, 1987900
09/16/25, 41.98, 41.99, 41.785, 41.89, 2276387
09/15/25, 42.04, 42.115, 41.96, 42.09, 1889278
09/12/25, 42.12, 42.20, 41.85, 41.94, 4150291
09/11/25, 41.78, 42.22, 41.78, 42.19, 3199310
09/10/25, 41.71, 41.8499, 41.665, 41.74, 1479466
09/09/25, 41.73, 41.805, 41.66, 41.75, 1438166
09/08/25, 41.63, 41.725, 41.47, 41.71, 1001934
09/05/25, 41.69, 41.785, 41.4499, 41.55, 2393302
09/04/25, 41.28, 41.39, 41.245, 41.39, 2147120
09/03/25, 40.97, 41.195, 40.925, 41.18, 3743796
09/02/25, 40.69, 41.02, 40.67, 40.90, 2738424
08/29/25, 41.33, 41.485, 41.33, 41.46, 1855379
08/28/25, 41.56, 41.615, 41.425, 41.57, 2017745
08/27/25, 41.44, 41.68, 41.3902, 41.66, 1039812
08/26/25, 41.70, 41.765, 41.58, 41.74, 2477579
08/25/25, 41.91, 42.07, 41.77, 41.79, 2242663
08/22/25, 41.78, 42.15, 41.77, 42.08, 2308985
08/21/25, 41.61, 41.705, 41.54, 41.66, 3548579
08/20/25, 41.57, 41.775, 41.57, 41.72, 1630653
08/19/25, 41.27, 41.365, 41.1857, 41.29, 2562353
08/18/25, 41.18, 41.295, 41.11, 41.29, 482508
08/15/25, 41.36, 41.425, 41.23, 41.27, 1747831
08/14/25, 41.31, 41.53, 41.26, 41.50, 1153094
08/13/25, 41.17, 41.39, 41.145, 41.36, 1672811
08/12/25, 40.80, 41.055, 40.77, 41.03, 856496
08/11/25, 40.62, 40.67, 40.525, 40.64, 765501
08/08/25, 40.52, 40.615, 40.45, 40.53, 1463678
08/07/25, 40.52, 40.57, 40.36, 40.49, 1056614
08/06/25, 40.38, 40.47, 40.365, 40.38, 963696
08/05/25, 40.30, 40.33, 40.1318, 40.23, 889417
08/04/25, 40.10, 40.22, 40.03, 40.21, 2097732
