,"iShares Russell 2000 ETF - EGARCH Volatility"
2000-05-30,0.3306094844374553
2000-05-31,0.3127904909040555
2000-06-01,0.2974265603472561
2000-06-02,0.28902256590100367
2000-06-05,0.279851635692915
2000-06-06,0.2660257303344923
2000-06-07,0.2518286417387824
2000-06-08,0.24196109026039705
2000-06-09,0.2322487158199158
2000-06-12,0.2802427098070528
2000-06-13,0.2668709216081812
2000-06-14,0.2611441946511544
2000-06-15,0.2473177510814782
2000-06-16,0.244908057033655
2000-06-19,0.23626931921009126
2000-06-20,0.22522917129004405
2000-06-21,0.2147698302834921
2000-06-22,0.26632967990819195
2000-06-23,0.2642392779281687
2000-06-26,0.2520886843949962
2000-06-27,0.26986523303308263
2000-06-28,0.2593588055185326
2000-06-29,0.27431659446705003
2000-06-30,0.2609096464295638
2000-07-03,0.24913501399843418
2000-07-05,0.25714733053251787
2000-07-06,0.24533840058172712
2000-07-07,0.23362422134701702
2000-07-10,0.22276720135603445
2000-07-11,0.21332042940140544
2000-07-12,0.20607067913703783
2000-07-13,0.19656583324677765
2000-07-14,0.1874216092130254
2000-07-17,0.17936051404921877
2000-07-18,0.20537858895220798
2000-07-19,0.22779625633447098
2000-07-20,0.218903074441635
2000-07-21,0.2625335018621433
2000-07-24,0.27719449994543544
2000-07-25,0.26246318141788955
2000-07-26,0.2518475038589821
2000-07-27,0.29353810859920726
2000-07-28,0.30985303032244177
2000-07-31,0.29619972788643817
2000-08-01,0.29128809244457626
2000-08-02,0.2752461138690245
2000-08-03,0.2612075381760641
2000-08-04,0.24796230278007986
2000-08-07,0.23803600904064914
2000-08-08,0.23455443547287697
2000-08-09,0.23504995213783816
2000-08-10,0.23371448735583336
2000-08-11,0.22467740073269496
2000-08-14,0.21497963996620706
2000-08-15,0.2318597817647554
2000-08-16,0.22100810030403864
2000-08-17,0.2114163238730633
2000-08-18,0.204505993066218
2000-08-21,0.19528658018409764
2000-08-22,0.18950971267985187
2000-08-23,0.1824131541309453
2000-08-24,0.17646634466662472
2000-08-25,0.16917072087095922
2000-08-28,0.16204949243980987
2000-08-29,0.15663955362551313
2000-08-30,0.1501763599239241
2000-08-31,0.14567648471870812
2000-09-01,0.14113639190513552
2000-09-05,0.1493655635010962
2000-09-06,0.14999764438150354
2000-09-07,0.14626405778590992
2000-09-08,0.1754717002824102
2000-09-11,0.1677689911753659
2000-09-12,0.16545174885748412
2000-09-13,0.15902945387568934
2000-09-14,0.15317575787310472
2000-09-15,0.18411151294799574
2000-09-18,0.2235466099049592
2000-09-19,0.21501755742264397
2000-09-20,0.21917568022022882
2000-09-21,0.24354977068352993
2000-09-22,0.232953683808606
2000-09-25,0.2212213913707262
2000-09-26,0.23759387113307448
2000-09-27,0.2323794810218837
2000-09-28,0.2248490533669199
2000-09-29,0.22221385375354075
2000-10-02,0.2423699461566966
2000-10-03,0.25545610033819904
2000-10-04,0.24303259781354436
2000-10-05,0.2504519954003162
2000-10-06,0.28419807388509866
2000-10-09,0.27243199371586296
2000-10-10,0.30395732332023195
2000-10-11,0.2926062822292098
2000-10-12,0.33560797129984854
2000-10-13,0.3219795558727293
2000-10-16,0.30452184749209704
2000-10-17,0.3353290551085605
2000-10-18,0.33025352261558083
2000-10-19,0.31582743326063367
2000-10-20,0.29964419300230066
2000-10-23,0.2843073393354452
2000-10-24,0.2957721163328281
2000-10-25,0.3215995074623094
2000-10-26,0.3054146813759941
2000-10-27,0.28810753617356144
2000-10-30,0.2727991107023628
2000-10-31,0.2621105751395773
2000-11-01,0.24815278277706257
2000-11-02,0.23896924404617426
2000-11-03,0.22841304165918375
2000-11-06,0.23128656770335798
2000-11-07,0.22097942166636242
2000-11-08,0.24485130344762307
2000-11-09,0.2517253503324606
2000-11-10,0.28813250701717086
2000-11-13,0.2904832814466265
2000-11-14,0.2781151711072231
2000-11-15,0.2649124821521251
2000-11-16,0.30799298628377886
2000-11-17,0.2914105248614058
2000-11-20,0.32524921952250707
2000-11-21,0.31650122274645326
2000-11-22,0.3377146250904749
2000-11-24,0.32223507071701557
2000-11-27,0.303938378623036
2000-11-28,0.34529349950440713
2000-11-29,0.3295129915496505
2000-11-30,0.3499654702967137
2000-12-01,0.3325762817760762
2000-12-04,0.33284115130193864
2000-12-05,0.32097944794020694
2000-12-06,0.34620263603849116
2000-12-07,0.33029495363992467
2000-12-08,0.31309391306762896
2000-12-11,0.30236858170120784
2000-12-12,0.3263706549308623
2000-12-13,0.34040279141041135
2000-12-14,0.3493727819965373
2000-12-15,0.3380631035768322
2000-12-18,0.32047560905628997
2000-12-19,0.3345568633281942
2000-12-20,0.37603727102509404
2000-12-21,0.3541399553848733
2000-12-22,0.33943432354433456
2000-12-26,0.3202310846872926
2000-12-27,0.30591375255127057
2000-12-28,0.2936132599185534
2000-12-29,0.33269370778540436
2001-01-02,0.38160415092082006
2001-01-03,0.36457555266364194
2001-01-04,0.3655698226057507
2001-01-05,0.4026315993560366
2001-01-08,0.3778150881052794
2001-01-09,0.35737688341581353
2001-01-10,0.3409122174402085
2001-01-11,0.32284085429201803
2001-01-12,0.304504220660404
2001-01-16,0.2903999442148707
2001-01-17,0.2752425432232452
2001-01-18,0.2607921724285451
2001-01-19,0.2801825904655748
2001-01-22,0.2658930785108932
2001-01-23,0.2556057041617029
2001-01-24,0.24914295414480417
2001-01-25,0.24265310795454487
2001-01-26,0.23005152553286842
2001-01-29,0.22174528360260565
2001-01-30,0.21162927963776657
2001-01-31,0.227077774341744
2001-02-01,0.21674651000650508
2001-02-02,0.24917638090316668
2001-02-05,0.2364214178115003
2001-02-06,0.2269326278876619
2001-02-07,0.21580381924331182
2001-02-08,0.23356251411560036
2001-02-09,0.24554318072388
2001-02-12,0.2363414089828526
2001-02-13,0.24148993022484397
2001-02-14,0.23068254550355557
2001-02-15,0.21976259554346367
2001-02-16,0.25106290765463546
2001-02-20,0.25921370102677826
2001-02-21,0.27829148747311694
2001-02-22,0.28896688945275373
2001-02-23,0.2731907333713938
2001-02-26,0.2618548552156328
2001-02-27,0.28183618433409147
2001-02-28,0.2933969815795657
2001-03-01,0.27804874608600555
2001-03-02,0.263201734036841
2001-03-05,0.25557400572045663
2001-03-06,0.2444009762664626
2001-03-07,0.23251618782355776
2001-03-08,0.23577299845402144
2001-03-09,0.2574315155531661
2001-03-12,0.2998385265438716
2001-03-13,0.2845537306028512
2001-03-14,0.31455672811116286
2001-03-15,0.30336180379210564
2001-03-16,0.32051511976816316
2001-03-19,0.30610595812561375
2001-03-20,0.332873402962748
2001-03-21,0.34136707222577867
2001-03-22,0.3386892752952181
2001-03-23,0.32281536766393265
2001-03-26,0.30621423676896536
2001-03-27,0.2900473726824637
2001-03-28,0.3258621984827329
2001-03-29,0.30710137088590145
2001-03-30,0.29267943419379505
2001-04-02,0.3210728216464296
