,"iShares安硕罗素2000 ETF - 广义自回归条件异方差（GARCH）模型波动率预测"
2000-05-30,0.3693140029839107
2000-05-31,0.35342373434731295
2000-06-01,0.34392270585118395
2000-06-02,0.4050150708307038
2000-06-05,0.38442643821672823
2000-06-06,0.3674708216988119
2000-06-07,0.3486688124854301
2000-06-08,0.3310733562218501
2000-06-09,0.3248062025269838
2000-06-12,0.3393527226942492
2000-06-13,0.3276903721502968
2000-06-14,0.3120617765763696
2000-06-15,0.29656724836030024
2000-06-16,0.28332181066765755
2000-06-19,0.29439650405533013
2000-06-20,0.28170046645328795
2000-06-21,0.26918344525620447
2000-06-22,0.29425874328556495
2000-06-23,0.28164929256080157
2000-06-26,0.2745328963894855
2000-06-27,0.2727392447008681
2000-06-28,0.28559717645663096
2000-06-29,0.28129605542915104
2000-06-30,0.27150680875440303
2000-07-03,0.2660720481373419
2000-07-05,0.25906126842891813
2000-07-06,0.2526373440329042
2000-07-07,0.24280089620921913
2000-07-10,0.2336409399056595
2000-07-11,0.22303016925967661
2000-07-12,0.23213991470662687
2000-07-13,0.22196428091024015
2000-07-14,0.21210980175371433
2000-07-17,0.20359723180829348
2000-07-18,0.21170702208476694
2000-07-19,0.21759289326630132
2000-07-20,0.2211522353493177
2000-07-21,0.24761840803946705
2000-07-24,0.2470548797332285
2000-07-25,0.23594277357020282
2000-07-26,0.22532677071311344
2000-07-27,0.2526558964283241
2000-07-28,0.2547568205171355
2000-07-31,0.27011346282627235
2000-08-01,0.25900785934021386
2000-08-02,0.24684977131850866
2000-08-03,0.23536381794999844
2000-08-04,0.22562328071367105
2000-08-07,0.23284348047561906
2000-08-08,0.2234266913329739
2000-08-09,0.21589126429756253
2000-08-10,0.20827420867692667
2000-08-11,0.21604283741887859
2000-08-14,0.2115281002609346
2000-08-15,0.21366657108682208
2000-08-16,0.20616775305561244
2000-08-17,0.20155705792653356
2000-08-18,0.19322817185907443
2000-08-21,0.18613583104818912
2000-08-22,0.17888182691374774
2000-08-23,0.17196913792887372
2000-08-24,0.1788346275193929
2000-08-25,0.17279917708137388
2000-08-28,0.16650535126535723
2000-08-29,0.16645524803982603
2000-08-30,0.1604389005197929
2000-08-31,0.16219979901343898
2000-09-01,0.16127031220903618
2000-09-05,0.15943072602230726
2000-09-06,0.1548687242796298
2000-09-07,0.1650855705384332
2000-09-08,0.1794097522432936
2000-09-11,0.17245546903476272
2000-09-12,0.16646024390226036
2000-09-13,0.16187982209033963
2000-09-14,0.15832276298751233
2000-09-15,0.1763547084713079
2000-09-18,0.20346023002051286
2000-09-19,0.209364538544616
2000-09-20,0.20386576760211608
2000-09-21,0.21363401695422946
2000-09-22,0.21281398638247442
2000-09-25,0.20356882374273327
2000-09-26,0.20665432877150192
2000-09-27,0.19862929995345602
2000-09-28,0.22683355307361386
2000-09-29,0.21779998347107377
2000-10-02,0.22223097713865186
2000-10-03,0.22205469056068147
2000-10-04,0.2146555156524053
2000-10-05,0.21157491439204223
2000-10-06,0.23253423231859863
2000-10-09,0.22220205939639712
2000-10-10,0.24109395429997826
2000-10-11,0.23050075140875353
2000-10-12,0.2632254774903068
2000-10-13,0.30778550258256154
2000-10-16,0.29480606642333534
2000-10-17,0.304773477192488
2000-10-18,0.29226477926702016
2000-10-19,0.3126962155191521
2000-10-20,0.30299458212978003
2000-10-23,0.2917833004131662
2000-10-24,0.28607224192500746
2000-10-25,0.29210500714640275
2000-10-26,0.28712368554335604
2000-10-27,0.27312592480392633
2000-10-30,0.2608631365294836
2000-10-31,0.27604974986404174
2000-11-01,0.2627349988105886
2000-11-02,0.2732614286722515
2000-11-03,0.2601464249225809
2000-11-06,0.2505966927156063
2000-11-07,0.24252476492102823
2000-11-08,0.24680357290768704
2000-11-09,0.24064282661238837
2000-11-10,0.25935710516583116
2000-11-13,0.2516459012183588
2000-11-14,0.26448083030722663
2000-11-15,0.2589048527934538
2000-11-16,0.2827884849140785
2000-11-17,0.2706841465620031
2000-11-20,0.28582292770175033
2000-11-21,0.27323717389842844
2000-11-22,0.2785595297238994
2000-11-24,0.2954322683797422
2000-11-27,0.2812091442325445
2000-11-28,0.30355396488927633
2000-11-29,0.28882776043863934
2000-11-30,0.2926073587591399
2000-12-01,0.2971682432562403
2000-12-04,0.28724999843342036
2000-12-05,0.35235600633450254
2000-12-06,0.3521089303042455
2000-12-07,0.3344287511563562
2000-12-08,0.323839571392997
2000-12-11,0.3720993786611313
2000-12-12,0.3678055301378706
2000-12-13,0.35906936711448945
2000-12-14,0.3489400991574342
2000-12-15,0.33219060552640556
2000-12-18,0.3232348799248002
2000-12-19,0.31818145389070057
2000-12-20,0.3377418973121339
2000-12-21,0.3227084814503641
2000-12-22,0.3613158302648806
2000-12-26,0.34390083338078725
2000-12-27,0.34894074912512013
2000-12-28,0.3628510405111166
2000-12-29,0.370166497673682
2001-01-02,0.38877564275556153
2001-01-03,0.41494503009434874
2001-01-04,0.3979675167648737
2001-01-05,0.405223578287345
2001-01-08,0.38452757196331183
2001-01-09,0.3647745336505826
