,"iShares Russell 2000 ETF - GJR-GARCH Volatility"
2000-05-30,0.3356301589547638
2000-05-31,0.32055863488603764
2000-06-01,0.30723985288370387
2000-06-02,0.3073939309745721
2000-06-05,0.29438546159754564
2000-06-06,0.28173866188366836
2000-06-07,0.2692871055212262
2000-06-08,0.2578276168295398
2000-06-09,0.24877136732349242
2000-06-12,0.29902065948693246
2000-06-13,0.28647558429995396
2000-06-14,0.27529911877810287
2000-06-15,0.2632277272629158
2000-06-16,0.2543207636037608
2000-06-19,0.24770387966279417
2000-06-20,0.23758973462673005
2000-06-21,0.22799076297078355
2000-06-22,0.2863835574889033
2000-06-23,0.2767183998219128
2000-06-26,0.2655467348697777
2000-06-27,0.2729854611513221
2000-06-28,0.2650147226098958
2000-06-29,0.27013445318951823
2000-06-30,0.2589573099952963
2000-07-03,0.2490396113071172
2000-07-05,0.24833479578987722
2000-07-06,0.23877840354604934
2000-07-07,0.2292203080008401
2000-07-10,0.22026393077396944
2000-07-11,0.21162535008831054
2000-07-12,0.2065132538119527
2000-07-13,0.1987410405527756
2000-07-14,0.191421751115175
2000-07-17,0.18470186030465421
2000-07-18,0.2072341458350916
2000-07-19,0.22384283236235195
2000-07-20,0.2168288680042397
2000-07-21,0.26573693834316675
2000-07-24,0.2707410696588163
2000-07-25,0.2589881564859675
2000-07-26,0.24816390229040164
2000-07-27,0.29175505753971087
2000-07-28,0.29830506599788076
2000-07-31,0.2884870257047966
2000-08-01,0.2784589140250317
2000-08-02,0.2662101485668794
2000-08-03,0.25469686923870893
2000-08-04,0.24399097934145023
2000-08-07,0.23623694630603403
2000-08-08,0.22842098502545688
2000-08-09,0.22308710854731165
2000-08-10,0.21714551250256128
2000-08-11,0.21107108849863832
2000-08-14,0.20369771132734898
2000-08-15,0.21481018970244406
2000-08-16,0.20671132915251647
2000-08-17,0.19948901022362112
2000-08-18,0.1924613052018509
2000-08-21,0.18568228025312486
2000-08-22,0.1796025010961707
2000-08-23,0.17366457669887664
2000-08-24,0.1700476215652545
2000-08-25,0.16482746979796783
2000-08-28,0.15987536770872493
2000-08-29,0.1561801982326825
2000-08-30,0.1518354314381199
2000-08-31,0.14897230588267069
2000-09-01,0.14594148320474204
2000-09-05,0.14916810557220334
2000-09-06,0.14705880538070476
2000-09-07,0.14587260537880306
2000-09-08,0.17740726704394047
2000-09-11,0.1715335885475495
2000-09-12,0.16690767387990285
2000-09-13,0.16198766619715219
2000-09-14,0.15752599785432245
2000-09-15,0.1899157149895711
2000-09-18,0.23281896572229677
2000-09-19,0.22524919800079202
2000-09-20,0.22159431310392425
2000-09-21,0.24001799182561293
2000-09-22,0.23120429148266258
2000-09-25,0.22180618837174046
2000-09-26,0.23038828095196162
2000-09-27,0.22228897138634657
2000-09-28,0.21864384464237727
2000-09-29,0.2120166370830365
2000-10-02,0.22677038695561638
2000-10-03,0.23297483125865764
2000-10-04,0.22381215248506953
2000-10-05,0.22468345733498052
2000-10-06,0.2606730987271222
2000-10-09,0.2498351512497791
2000-10-10,0.28033135893081956
2000-10-11,0.26871622131907114
2000-10-12,0.3164538449758511
2000-10-13,0.30966583602328496
2000-10-16,0.2959191362517808
2000-10-17,0.3213161564565343
2000-10-18,0.3105389714673506
2000-10-19,0.30146806398024983
2000-10-20,0.2887593489395625
2000-10-23,0.276473548101803
2000-10-24,0.2788756174354438
2000-10-25,0.29913242953581615
2000-10-26,0.28701667756421406
2000-10-27,0.27425182223642564
2000-10-30,0.2623663339683657
2000-10-31,0.25526944117931544
2000-11-01,0.24439174781485562
2000-11-02,0.2379367916065105
2000-11-03,0.2281942698667081
2000-11-06,0.22410414453998836
2000-11-07,0.21574793625895938
2000-11-08,0.23470678643788723
2000-11-09,0.23411987698612863
2000-11-10,0.2724427235218441
2000-11-13,0.26759754483178655
2000-11-14,0.25953092070117584
2000-11-15,0.24945797882609408
2000-11-16,0.2972219170922629
2000-11-17,0.2840895647502738
2000-11-20,0.314140106322004
2000-11-21,0.3017938508319876
2000-11-22,0.3151112203651276
2000-11-24,0.30485792756626817
2000-11-27,0.2910954956710942
2000-11-28,0.33302511797160284
2000-11-29,0.31803541500908356
2000-11-30,0.329661781224333
2000-12-01,0.3169754457367321
2000-12-04,0.309630922874315
2000-12-05,0.3076471842874562
2000-12-06,0.32570587038001014
2000-12-07,0.31113270030647694
2000-12-08,0.297964639512812
2000-12-11,0.2956958092364516
2000-12-12,0.31176325056042126
2000-12-13,0.3166043145631468
2000-12-14,0.3170518374020248
2000-12-15,0.3043065730476422
2000-12-18,0.29179198001315937
2000-12-19,0.29846759824141716
2000-12-20,0.34395824107004624
2000-12-21,0.3282160361712998
2000-12-22,0.32156886789613204
2000-12-26,0.3069776441371586
2000-12-27,0.2968438741156704
2000-12-28,0.2891571565775262
2000-12-29,0.3263633196301325
2001-01-02,0.37730606303106234
2001-01-03,0.36675844039367383
2001-01-04,0.357901086335317
2001-01-05,0.38982267814995064
2001-01-08,0.37127592757947564
2001-01-09,0.35384242425124773
2001-01-10,0.3420351613504085
2001-01-11,0.32700896684953457
2001-01-12,0.31197455088516435
2001-01-16,0.29990726766785764
2001-01-17,0.28641255000436
2001-01-18,0.2737640232024654
2001-01-19,0.28281477189142723
2001-01-22,0.2705948048281785
2001-01-23,0.2626395948824168
2001-01-24,0.25245454006612755
2001-01-25,0.24276456743108127
2001-01-26,0.23264528621917102
2001-01-29,0.22621123579521865
2001-01-30,0.2173773171239355
2001-01-31,0.22460925270344498
2001-02-01,0.2159784989298703
2001-02-02,0.24675103404038656
2001-02-05,0.23641646135580324
2001-02-06,0.22856970665422835
2001-02-07,0.21935818653517355
2001-02-08,0.22936796201736634
2001-02-09,0.23332826661165595
2001-02-12,0.22730660087203802
2001-02-13,0.22543103513048068
2001-02-14,0.21721043345106605
2001-02-15,0.2088760723491324
2001-02-16,0.239878101543263
2001-02-20,0.24035147763223758
2001-02-21,0.25346300321743215
2001-02-22,0.25710229637247506
2001-02-23,0.246140681724903
2001-02-26,0.23908394927305346
2001-02-27,0.2538304520738203
2001-02-28,0.25866608204401287
2001-03-01,0.24789079692477495
2001-03-02,0.2375053978333966
2001-03-05,0.22877010993571692
2001-03-06,0.221104884613615
2001-03-07,0.21254116495399192
2001-03-08,0.2103190775940214
2001-03-09,0.2289499761956747
2001-03-12,0.27947187192989564
2001-03-13,0.2678015362166543
2001-03-14,0.2943322979219236
2001-03-15,0.2821231454524779
2001-03-16,0.29180126387663236
2001-03-19,0.2826135474459779
2001-03-20,0.3048470573910793
2001-03-21,0.3054121647871938
2001-03-22,0.29748937863392705
2001-03-23,0.28790882931928297
2001-03-26,0.276164931155279
2001-03-27,0.2644335190553573
2001-03-28,0.3011624677810965
2001-03-29,0.2875874670426373
2001-03-30,0.27695584702258946
2001-04-02,0.3006666991869901
2001-04-03,0.3542336584798232
2001-04-04,0.33766761171305726
2001-04-05,0.33307740181525375
2001-04-06,0.3609600249335098
2001-04-09,0.34620132582068486
2001-04-10,0.3327522159204954
2001-04-11,0.31986731561696014
2001-04-12,0.30599010572239094
2001-04-16,0.3118819276585291
2001-04-17,0.29906814474296656
2001-04-18,0.29029349286541023
2001-04-19,0.27805132907432756
2001-04-20,0.27494180184177164
2001-04-23,0.2849055822548937
2001-04-24,0.272607779786271
2001-04-25,0.263549055775201
2001-04-26,0.25347026097749614
2001-04-27,0.24382835848194526
2001-04-30,0.23365107831978865
2001-05-01,0.2251925256308477
2001-05-02,0.21671081375879697
2001-05-03,0.22119467715114666
2001-05-04,0.21390668152257422
2001-05-07,0.20884928728631086
2001-05-08,0.20107418929340484
2001-05-09,0.19708583510744754
2001-05-10,0.1898780935231866
2001-05-11,0.18663561074993165
2001-05-14,0.18012334773704383
2001-05-15,0.17494183033225644
2001-05-16,0.17267685195184676
2001-05-17,0.16823323809521115
2001-05-18,0.1631563507804707
2001-05-21,0.16111249113585202
2001-05-22,0.15664033388626317
2001-05-23,0.20767496912242459
2001-05-24,0.20071913810097933
2001-05-25,0.1989559106938017
2001-05-29,0.20672156926648946
2001-05-30,0.21383675081706607
2001-05-31,0.2056593192636794
2001-06-01,0.19906550580148236
2001-06-04,0.1931206141249556
2001-06-05,0.18780039297083487
2001-06-06,0.18458032397847826
2001-06-07,0.17834393177229216
2001-06-08,0.17614989412429402
2001-06-11,0.1869734687061242
2001-06-12,0.18046948772576488
2001-06-13,0.17447882393001163
2001-06-14,0.22848948509723596
2001-06-15,0.21952894752173346
2001-06-18,0.21575862346613173
2001-06-19,0.20814155663874526
2001-06-20,0.20130947816732328
2001-06-21,0.19383053629394933
2001-06-22,0.21658100193691968
2001-06-25,0.21233683806631387
2001-06-26,0.20596731973786522
2001-06-27,0.19893121022102087
