,"美国SPDR S＆P 500 ETF信托 - 指数GARCH模型波动率预测"
1993-02-01,0.115145981084882
1993-02-02,0.10978751568370605
1993-02-03,0.10555179808984781
1993-02-04,0.10111219154978296
1993-02-05,0.09828506397210107
1993-02-08,0.09404485057673281
1993-02-09,0.10784403905640774
1993-02-10,0.10299646906569176
1993-02-11,0.09881063161421447
1993-02-12,0.1141101431074381
1993-02-16,0.18688354983786026
1993-02-17,0.1767541445058644
1993-02-18,0.16757330813706578
1993-02-19,0.15787674141557395
1993-02-22,0.14904621001555188
1993-02-23,0.1423365331880751
1993-02-24,0.13562269456105053
1993-02-25,0.12859266573175937
1993-02-26,0.12208910516503918
1993-03-01,0.12267065370332059
1993-03-02,0.11776033712587614
1993-03-03,0.11236460652714449
1993-03-04,0.12066608040373236
1993-03-05,0.12129534764367511
1993-03-08,0.1171175962868091
1993-03-09,0.11959778793940964
1993-03-10,0.11387956375048158
1993-03-11,0.11495124549129514
1993-03-12,0.13607422209955858
1993-03-15,0.12923192036025774
1993-03-16,0.12255900407558802
1993-03-17,0.13167763135779745
1993-03-18,0.12531837630611084
1993-03-19,0.1224856494451493
1993-03-22,0.1299043384956792
1993-03-23,0.12334915516532734
1993-03-24,0.117157643028528
1993-03-25,0.11198362130240297
1993-03-26,0.12030923904671662
1993-03-29,0.11470941792198232
1993-03-30,0.10943982894723474
1993-03-31,0.10595844562846324
1993-04-01,0.1094745701978318
1993-04-02,0.16625051578867356
1993-04-05,0.15678477604665575
1993-04-06,0.1543461183185376
1993-04-07,0.14582287845190822
1993-04-08,0.14101508600146295
1993-04-12,0.13451600306283265
1993-04-13,0.12757643826349754
1993-04-14,0.12427579281581752
1993-04-15,0.11800900304637779
1993-04-16,0.11224722963173746
1993-04-19,0.11703678344862355
1993-04-20,0.12323862121916164
1993-04-21,0.11867944944260568
1993-04-22,0.146316356023515
1993-04-23,0.1483382852806382
1993-04-26,0.15930019209027968
1993-04-27,0.1509345670149817
1993-04-28,0.14739469868350083
1993-04-29,0.13953914547538263
1993-04-30,0.1321210122577026
1993-05-03,0.1257365445683951
1993-05-04,0.11964251251123072
1993-05-05,0.1139832003411029
1993-05-06,0.11694190865553716
1993-05-07,0.11624222606264903
1993-05-10,0.11079668460743759
1993-05-11,0.10595458083537493
1993-05-12,0.10442798590416269
1993-05-13,0.13170709046972376
1993-05-14,0.12646687503057866
1993-05-17,0.12031512473500579
1993-05-18,0.11600746700105127
1993-05-19,0.11210642193915565
1993-05-20,0.10704194897328805
1993-05-21,0.12530869355316096
1993-05-24,0.11930466294323956
1993-05-25,0.11361225690919093
1993-05-26,0.10923562495816097
1993-05-27,0.11239845497158758
1993-05-28,0.11881706998575585
1993-06-01,0.11379269783250592
1993-06-02,0.11157090427167829
1993-06-03,0.11453973913013771
1993-06-04,0.1172952014363759
1993-06-07,0.11984271492251834
1993-06-08,0.13678298973191078
1993-06-09,0.12976904808158224
1993-06-10,0.123109300704699
1993-06-11,0.11728316963656805
1993-06-14,0.11482102978113373
1993-06-15,0.11422186620783256
1993-06-16,0.1089337137896253
1993-06-17,0.10417423693025066
1993-06-18,0.12041523159467826
1993-06-21,0.11463532701571535
1993-06-22,0.10919964230710648
1993-06-23,0.12754818854064529
1993-06-24,0.1221234979846221
1993-06-25,0.11765014288134121
1993-06-28,0.11284264140829034
1993-06-29,0.11925954754232468
1993-06-30,0.11339776664467427
1993-07-01,0.11460216123616518
1993-07-02,0.12276303075437656
1993-07-06,0.14358937704440394
1993-07-07,0.13594169823861993
1993-07-08,0.12963980777523545
1993-07-09,0.12316379922688322
1993-07-12,0.11859483496341651
1993-07-13,0.11440250207054041
1993-07-14,0.10921599113682941
1993-07-15,0.11423406602235604
1993-07-16,0.11539803135235888
1993-07-19,0.11146858552973568
1993-07-20,0.10645563808460312
1993-07-21,0.10321976845546595
1993-07-22,0.11620466135228828
1993-07-23,0.11099439553418902
1993-07-26,0.10625078616179741
1993-07-27,0.10302620423950404
1993-07-28,0.10338563768725326
1993-07-29,0.09922709045416982
1993-07-30,0.10871028267831889
1993-08-02,0.10391125944766526
1993-08-03,0.09930623182862192
1993-08-04,0.09498998305084597
1993-08-05,0.09596471539060593
1993-08-06,0.09201239155678978
1993-08-09,0.08869731224789171
1993-08-10,0.08677495929126097
1993-08-11,0.0833688287071373
1993-08-12,0.08692134582483178
1993-08-13,0.08362117578699789
1993-08-16,0.0809009372009991
1993-08-17,0.07819236970446669
1993-08-18,0.07584050078948583
1993-08-19,0.07318392610402916
1993-08-20,0.070760109101103
1993-08-23,0.07340882916924912
1993-08-24,0.07183562987821572
1993-08-25,0.06949907769172192
1993-08-26,0.06731261189405742
1993-08-27,0.0668090502851223
1993-08-30,0.06507866747252897
1993-08-31,0.06334077833434003
1993-09-01,0.06472155807766064
1993-09-02,0.07120675024181346
1993-09-03,0.06891072485469878
1993-09-07,0.08459674036273501
1993-09-08,0.08965639006785851
1993-09-09,0.08621670139827899
1993-09-10,0.08359052195075707
1993-09-13,0.0804638858122077
1993-09-14,0.08753123602463295
1993-09-15,0.08429822560410154
1993-09-16,0.091071956166539
1993-09-17,0.09195713414412174
1993-09-20,0.10949200573557871
1993-09-21,0.11266854095087946
1993-09-22,0.10801716696895915
1993-09-23,0.10349536337440438
1993-09-24,0.10537735790956233
1993-09-27,0.10151173725239857
1993-09-28,0.10183683007635302
1993-09-29,0.10550174519883547
1993-09-30,0.1055403735070139
1993-10-01,0.10114964359798803
1993-10-04,0.09680828848812482
1993-10-05,0.09586846488809551
1993-10-06,0.09338859780508539
1993-10-07,0.09603438321767886
1993-10-08,0.09207417097101664
1993-10-11,0.08845964639314359
1993-10-12,0.08504765181943592
1993-10-13,0.0817628544022284
1993-10-14,0.07978566186978711
1993-10-15,0.07731296036241272
1993-10-18,0.08103557663150181
1993-10-19,0.09720083147792513
1993-10-20,0.0931530540562144
1993-10-21,0.09245666898607154
1993-10-22,0.10027010721047425
1993-10-25,0.09610670132722277
1993-10-26,0.0936024172764785
1993-10-27,0.08976307815577628
1993-10-28,0.08676364722624332
1993-10-29,0.08335830900396193
1993-11-01,0.08041520229409363
1993-11-02,0.07901603862507915
1993-11-03,0.11249083322653451
1993-11-04,0.13535609302872184
1993-11-05,0.12856762842955452
1993-11-08,0.12206178419144953
1993-11-09,0.11603059941239639
1993-11-10,0.1110443214216738
1993-11-11,0.11223101924156263
1993-11-12,0.1073179664361937
1993-11-15,0.10395394537967281
1993-11-16,0.09967904213022917
1993-11-17,0.10859031338015376
1993-11-18,0.10997206681698768
1993-11-19,0.10961525277077092
1993-11-22,0.11957297470582556
1993-11-23,0.11413640891494703
1993-11-24,0.10901827956815316
1993-11-26,0.10401952220617051
1993-11-29,0.10914751046175995
1993-11-30,0.10413875589808053
1993-12-01,0.09957081801411496
1993-12-02,0.09545962099233371
1993-12-03,0.0917648854410008
1993-12-06,0.08828247572423419
1993-12-07,0.08633721468752625
1993-12-08,0.08296193078756062
1993-12-09,0.08799708086067401
1993-12-10,0.08931354208629282
1993-12-13,0.08623293639903491
1993-12-14,0.10189601640888617
1993-12-15,0.10054673182157638
1993-12-16,0.09641830303422687
1993-12-17,0.09277225921578065
1993-12-20,0.0890492400865948
1993-12-21,0.09365568151479119
1993-12-22,0.09031847252915652
1993-12-23,0.08822443947115788
1993-12-27,0.08516382753258568
1993-12-28,0.08203817574763593
1993-12-29,0.08211930637797668
1993-12-30,0.08891964979688123
1993-12-31,0.09875455938841508
1994-01-03,0.10091319893849367
1994-01-04,0.09681322120454416
1994-01-05,0.09284999515347324
1994-01-06,0.0890090323506553
1994-01-07,0.0859483444866741
1994-01-10,0.08360366499143444
1994-01-11,0.08514386671980548
1994-01-12,0.08989705912876128
1994-01-13,0.09263732250016729
1994-01-14,0.0891439911603693
1994-01-17,0.08556976732468075
1994-01-18,0.0823590213637826
1994-01-19,0.08565099509054172
1994-01-20,0.08254542603924217
1994-01-21,0.08417542182846488
1994-01-24,0.09073509596622467
1994-01-25,0.08704690528674756
1994-01-26,0.0838436895657628
1994-01-27,0.08141920412286036
1994-01-28,0.07860576391079728
1994-01-31,0.07636803205530439
1994-02-01,0.08687993577345691
1994-02-02,0.0840126440483812
1994-02-03,0.09209767814662864
1994-02-04,0.1617770465795442
1994-02-07,0.15268771424053737
1994-02-08,0.1440735911956109
1994-02-09,0.13647861063184955
1994-02-10,0.15051704926685214
1994-02-11,0.1423114790872472
1994-02-14,0.13464939673091744
1994-02-15,0.12796329426831743
1994-02-16,0.12291489055439948
1994-02-17,0.13127480885531695
1994-02-18,0.1389487339992704
1994-02-22,0.13228741844937486
1994-02-23,0.1315779055920864
1994-02-24,0.1593729437514411
1994-02-25,0.15050082511401722
1994-02-28,0.14202315459107362
1994-03-01,0.143787485686342
1994-03-02,0.13600032852901497
1994-03-03,0.135060001332741
1994-03-04,0.12812403708906459
1994-03-07,0.12198536240057659
1994-03-08,0.12549048983887187
1994-03-09,0.11951198918936962
1994-03-10,0.13367146292309365
1994-03-11,0.12707312021037337
1994-03-14,0.12068828857846979
1994-03-15,0.11625367194200792
1994-03-16,0.1112953583937803
1994-03-17,0.10606352587011239
1994-03-18,0.10174149065155277
1994-03-21,0.10361089537302533
1994-03-22,0.09919306628993782
1994-03-23,0.0964371845296201
1994-03-24,0.12498293515516429
1994-03-25,0.1425822545760867
1994-03-28,0.13489992957744643
1994-03-29,0.18260997782158567
1994-03-30,0.2060613238819939
1994-03-31,0.1927030565403673
1994-04-04,0.2192871788317776
1994-04-05,0.20608223504222775
1994-04-06,0.19249298896323475
1994-04-07,0.1805979767328527
1994-04-08,0.18774785218478532
1994-04-11,0.17624328753175253
1994-04-12,0.16866184630793057
1994-04-13,0.17097390327181514
1994-04-14,0.1607027952463802
1994-04-15,0.15132686344466403
1994-04-18,0.15888693338345983
1994-04-19,0.14978825094112022
1994-04-20,0.14380598304660347
1994-04-21,0.137008894455798
1994-04-22,0.13210505637559827
1994-04-25,0.12605690714911263
1994-04-26,0.12204809560169304
1994-04-28,0.1339631086530915
1994-04-29,0.12715564037823884
1994-05-02,0.1211696516459464
1994-05-03,0.11755940727989403
1994-05-04,0.11587769880352303
1994-05-05,0.1135176722805749
1994-05-06,0.1330499885005632
1994-05-09,0.14787629384049358
1994-05-10,0.14026410987847177
1994-05-11,0.15531997669327666
1994-05-12,0.14682639462984848
1994-05-13,0.13866730184149398
1994-05-16,0.13123463430055346
1994-05-17,0.12561223332144048
1994-05-18,0.11983735277450017
1994-05-19,0.11432766121984653
1994-05-20,0.11789165619330319
1994-05-23,0.11616709534115073
1994-05-24,0.11089409001385062
1994-05-25,0.10592115935921398
1994-05-26,0.10116173841922647
1994-05-27,0.09679188767660232
1994-05-31,0.09587763826878508
1994-06-01,0.09218585184289399
1994-06-02,0.09079290126436097
1994-06-03,0.08758426502517447
1994-06-06,0.08490952102090789
1994-06-07,0.08484668290510833
1994-06-08,0.10296429012041021
1994-06-09,0.09882821459482104
1994-06-10,0.09468923719198502
1994-06-13,0.09082754736312106
1994-06-14,0.08778432046783755
1994-06-15,0.09424091149813864
1994-06-16,0.0904678997213929
1994-06-17,0.10073031341160416
1994-06-20,0.11829511350854693
1994-06-21,0.13423791163453044
1994-06-22,0.12746394549047976
1994-06-23,0.13524345647756864
1994-06-24,0.18671437973546656
1994-06-27,0.176378284377641
1994-06-28,0.17709135947301327
1994-06-29,0.1664908213686268
1994-06-30,0.1716399184339121
1994-07-01,0.16145248588981218
1994-07-05,0.15244126331148009
1994-07-06,0.14701932730086884
1994-07-07,0.1391887404929005
1994-07-08,0.13248113314732782
1994-07-11,0.13379536808126058
1994-07-12,0.12685892242960287
1994-07-13,0.12052547996170768
1994-07-14,0.11545591886083623
1994-07-15,0.10992560848137252
1994-07-18,0.10494358484442963
1994-07-19,0.10508744358866096
1994-07-20,0.11126870503425479
1994-07-21,0.10621162139803722
1994-07-22,0.10151672689759061
1994-07-25,0.09714977035484954
1994-07-26,0.09542058268528861
1994-07-27,0.09139194209556989
1994-07-28,0.08782956495394931
1994-07-29,0.08518434574497828
1994-08-01,0.08228990266126215
1994-08-02,0.07931041394419777
1994-08-03,0.07644926317499731
1994-08-04,0.08852969806793651
1994-08-05,0.09330534196925705
1994-08-08,0.0896311602067049
1994-08-09,0.08616470251791045
1994-08-10,0.08311518489421774
1994-08-11,0.08915206155776768
1994-08-12,0.08623219120490909
1994-08-15,0.08365169789071826
1994-08-16,0.08105900517524255
1994-08-17,0.07963145885892084
