,"美国iShares安硕MSCI德国指数ETF - 指数GARCH模型波动率预测"
1996-04-02,0.08688808594968588
1996-04-03,0.102550168600544
1996-04-04,0.10640351178415118
1996-04-08,0.11003386242425556
1996-04-09,0.1077252338126959
1996-04-10,0.10291801066868715
1996-04-11,0.09841480498380312
1996-04-12,0.09419256658569189
1996-04-15,0.09023028937114189
1996-04-16,0.08650872742099493
1996-04-17,0.09147604407712438
1996-04-18,0.08767914780607759
1996-04-19,0.0867773696305667
1996-04-22,0.09172685713573751
1996-04-23,0.08791475302814654
1996-04-24,0.1038854890733061
1996-04-25,0.10781233695639846
1996-04-26,0.105685887799649
1996-04-29,0.11872802213462498
1996-04-30,0.1534332160909104
1996-05-01,0.14827850875969856
1996-05-02,0.1407625651940174
1996-05-03,0.13648205420493933
1996-05-06,0.1297782524154182
1996-05-07,0.1235276438697023
1996-05-08,0.12040788578826554
1996-05-09,0.11477986042856125
1996-05-10,0.1095193215829974
1996-05-13,0.13269542810511598
1996-05-14,0.13458788429869903
1996-05-15,0.13116046386011296
1996-05-16,0.12481693587009737
1996-05-17,0.12431787160340223
1996-05-20,0.11843165928078522
1996-05-21,0.1304559774023406
1996-05-22,0.12415984278340561
1996-05-23,0.12370560003492162
1996-05-24,0.11785997335821861
1996-05-28,0.12082689551585774
1996-05-29,0.12362728970579272
1996-05-30,0.11778684799246475
1996-05-31,0.11502159466813179
1996-06-03,0.10974537657687453
1996-06-04,0.10749394606209225
1996-06-05,0.10856800965293598
1996-06-06,0.1037070797968972
1996-06-07,0.09915425255630744
1996-06-10,0.11415580353183977
1996-06-12,0.10893569167173815
1996-06-17,0.11251783538621778
1996-06-18,0.1218591166880837
1996-06-19,0.13326403055588557
1996-06-20,0.14547519747365872
1996-06-21,0.14648854453505913
1996-06-24,0.14445725402346538
1996-06-25,0.1456921477637007
1996-06-26,0.14653069371295557
1996-06-27,0.14174721330594123
1996-06-28,0.14036911839859934
1996-07-01,0.14291137127604647
1996-07-02,0.13576717747673775
1996-07-03,0.1321417434424111
1996-07-05,0.14407418589046408
1996-07-08,0.1368497672632292
1996-07-09,0.1580541929845583
1996-07-11,0.15811480803517422
1996-07-12,0.15567798110201714
1996-07-15,0.14764364232841182
1996-07-16,0.14017186850434718
1996-07-17,0.1385081695785487
1996-07-18,0.13735751264492235
1996-07-19,0.14011710602206998
1996-07-22,0.18154392856826693
1996-07-23,0.17738787669962114
1996-07-24,0.195221661707916
1996-07-25,0.19822754198143103
1996-07-26,0.18709425859710394
1996-07-29,0.19336258376428464
1996-07-30,0.18259293414587544
1996-07-31,0.18913501843920918
1996-08-01,0.17867955674894653
1996-08-02,0.1689934377424165
1996-08-05,0.16255139494941287
1996-08-06,0.1619746757984099
1996-08-07,0.15603847487078307
1996-08-09,0.14797871049580072
1996-08-12,0.14846343549844185
1996-08-13,0.1491318388540824
1996-08-14,0.14945671694507412
1996-08-15,0.1596607779011489
1996-08-16,0.153890143544023
1996-08-19,0.1489446542847376
1996-08-20,0.14138231869650464
1996-08-21,0.15222665614142616
1996-08-22,0.14698385911384965
1996-08-23,0.14510620979131114
1996-08-26,0.14028561366013267
1996-08-27,0.13332194823058957
1996-08-28,0.1540049162851628
1996-08-29,0.15412499109489028
1996-08-30,0.15566449653019793
1996-09-03,0.15574296748168118
1996-09-04,0.15029877245007692
1996-09-05,0.14264195371628924
1996-09-06,0.13854138760673648
1996-09-09,0.13427572379250094
1996-09-10,0.14595159279706404
1996-09-11,0.13859727270043953
1996-09-12,0.1347769650941881
1996-09-13,0.1360525713097698
1996-09-16,0.13235219922615568
1996-09-17,0.12592832961649258
1996-09-18,0.14729901873400245
1996-09-19,0.1424137836025713
1996-09-20,0.1408837665595295
1996-09-23,0.17057489264249884
1996-09-24,0.17235125064820386
1996-09-25,0.16564141873335905
1996-09-26,0.1568988367069686
1996-09-27,0.15665990348522496
1996-09-30,0.1578368557720281
1996-10-01,0.15261077668369297
1996-10-02,0.1498744310414555
1996-10-03,0.15011081027028
1996-10-04,0.1475303860226767
1996-10-07,0.14006648721232356
1996-10-08,0.13311784358229367
1996-10-09,0.12664225313851613
1996-10-10,0.1459883733726765
1996-10-11,0.14372230975043507
1996-10-14,0.15277247317498005
1996-10-15,0.15002458118588433
1996-10-16,0.15025010788681653
1996-10-17,0.1451115846512607
1996-10-18,0.1432900913531707
1996-10-21,0.13611979047882788
1996-10-22,0.1294406339601286
1996-10-23,0.14089102852914376
1996-10-24,0.1501612737026428
1996-10-25,0.15019287919205757
1996-10-28,0.14545550907408078
1996-10-29,0.1472812252800743
1996-10-30,0.13983463733996668
1996-10-31,0.15800456778207397
1996-11-01,0.15488164358632048
1996-11-04,0.14940528183434482
1996-11-05,0.15793998543750726
1996-11-06,0.16305862994640916
1996-11-07,0.17030291600556932
1996-11-08,0.1661966209042771
1996-11-11,0.1627637994149805
1996-11-12,0.16315774085221946
1996-11-13,0.15992327785535163
1996-11-14,0.1515885424430224
1996-11-15,0.14872547609606096
1996-11-18,0.14117840755582986
1996-11-19,0.13415346450986648
1996-11-20,0.13042872812383013
1996-11-21,0.13300810501619817
1996-11-22,0.14222159329722053
1996-11-25,0.13512491687323994
1996-11-26,0.1361682028962709
1996-11-27,0.14675957195358674
1996-11-29,0.14472402357590808
1996-12-02,0.13989475243911045
1996-12-03,0.13295787859318453
1996-12-04,0.14372486966423034
1996-12-05,0.14440659472475625
1996-12-06,0.17196261686773667
1996-12-09,0.16521542300887046
1996-12-10,0.16415783989806884
1996-12-11,0.1713161708654498
1996-12-12,0.17123664677866124
1996-12-13,0.16987340462827016
1996-12-16,0.16332191769630922
1996-12-17,0.15474522054008646
1996-12-18,0.16286401812555162
1996-12-19,0.156829123188265
1996-12-20,0.15674049674541676
1996-12-23,0.15637039719844675
1996-12-24,0.15076524161755586
1996-12-26,0.14307583066332344
1996-12-27,0.13592030444344952
1996-12-30,0.1317322006192867
1996-12-31,0.13074827142260811
1997-01-02,0.14176616352289428
1997-01-03,0.1424428091551132
1997-01-06,0.13780498350930565
1997-01-07,0.13101101602537094
1997-01-08,0.14074240554999762
1997-01-09,0.1362329325823973
1997-01-10,0.13202339656288198
1997-01-13,0.1256217121360794
1997-01-14,0.12505769644448117
1997-01-15,0.11912236414712395
1997-01-16,0.11603291239988765
1997-01-17,0.11840611217331645
1997-01-20,0.11290937197593476
1997-01-21,0.13444905979589444
1997-01-22,0.1454235498122639
1997-01-23,0.14355628262113782
1997-01-24,0.1388411538413593
1997-01-27,0.14796687453616097
1997-01-28,0.14295455753490338
1997-01-29,0.14357998746343448
1997-01-30,0.13887378413509152
1997-01-31,0.13997031685325287
1997-02-03,0.1354706728410249
1997-02-04,0.12883564180769233
1997-02-05,0.1305002731031625
1997-02-06,0.13307457067373915
1997-02-07,0.1318810509512265
1997-02-10,0.12788363038325115
1997-02-11,0.12414697418785527
1997-02-12,0.12576128386749238
1997-02-13,0.11977917381581826
1997-02-14,0.11419244230683571
1997-02-18,0.11136517714258798
1997-02-19,0.11385730016121057
1997-02-20,0.1542351858688542
1997-02-21,0.15408611319648505
1997-02-24,0.14855768697714702
1997-02-25,0.14868422027908676
1997-02-26,0.14114002536488365
1997-02-27,0.13411771292413244
1997-02-28,0.1275744629618326
1997-03-03,0.13821748123880714
1997-03-04,0.14406216907988023
1997-03-05,0.13955923516557403
1997-03-06,0.13264533975982723
1997-03-07,0.12620167859422474
1997-03-10,0.13012525919282544
1997-03-11,0.12845920130531716
1997-03-12,0.1222970169709793
1997-03-13,0.16888387489633225
1997-03-14,0.17698894541750337
1997-03-17,0.19881526701941177
1997-03-18,0.20211340875854825
1997-03-20,0.23094795777404054
1997-03-21,0.22711772189769783
1997-03-24,0.21837813352073507
1997-03-25,0.21530081839138465
1997-03-26,0.21230811571864133
1997-03-27,0.20231417251393932
1997-03-31,0.2377908551647855
1997-04-01,0.2543881341572362
1997-04-02,0.27004166345214214
1997-04-03,0.27688623151034436
1997-04-04,0.2694193022038325
1997-04-07,0.25273757061426383
1997-04-08,0.23739083217344348
1997-04-09,0.22325450947293315
1997-04-10,0.21021702785454846
1997-04-11,0.20540147127029054
1997-04-14,0.2009871936218823
1997-04-15,0.19198325551984996
1997-04-16,0.18131634675340227
1997-04-17,0.17890309779319083
1997-04-18,0.1692006595731825
1997-04-21,0.1602023370616047
1997-04-23,0.16165168109240313
1997-04-24,0.17698965732494087
1997-04-25,0.16742684730950413
1997-04-28,0.18259465928662863
1997-04-29,0.1824484475132633
1997-04-30,0.1870954034710634
1997-05-01,0.1865202659230358
1997-05-02,0.18080785713015904
1997-05-05,0.18047409564810127
1997-05-06,0.17286996500259957
1997-05-07,0.17772176231401715
1997-05-08,0.17257152604065365
1997-05-09,0.1776731200829208
1997-05-12,0.17494752013103818
1997-05-13,0.16553336702912802
1997-05-14,0.1646034908499817
1997-05-15,0.1559351703753839
1997-05-16,0.15038768460216415
1997-05-19,0.15765391679244764
1997-05-20,0.1632754678449889
1997-05-21,0.16841887780174764
1997-05-22,0.17299725200129626
1997-05-23,0.16585465203002298
1997-05-27,0.16136685161457417
1997-05-28,0.1736680592394583
1997-05-29,0.16434677970681386
1997-05-30,0.18560612813158944
1997-06-02,0.175411516155582
1997-06-03,0.17030853883466912
1997-06-04,0.16123030484372347
1997-06-05,0.15749176778485915
1997-06-06,0.15362278073254632
1997-06-09,0.145733092055305
1997-06-10,0.14302786232059822
1997-06-11,0.13587565212355007
1997-06-12,0.12921310165768796
1997-06-13,0.12725839602949582
1997-06-16,0.12327685330182629
1997-06-17,0.13100203296132468
1997-06-18,0.13945480945453262
1997-06-19,0.1441542199174204
1997-06-20,0.15143078220758158
1997-06-23,0.14578504491202107
1997-06-24,0.145126388365452
1997-06-25,0.14443861325836663
1997-06-26,0.14356855240615893
1997-06-27,0.1506664168287014
1997-06-30,0.19825035989879058
1997-07-01,0.19596776163440763
1997-07-02,0.1874186511529736
1997-07-03,0.1900744790864886
1997-07-07,0.19258984085356112
1997-07-08,0.18187773585571157
1997-07-09,0.1719574877695066
1997-07-10,0.16998640651534463
1997-07-11,0.16291862876908828
1997-07-14,0.15668555019528765
1997-07-15,0.15475421764850222
1997-07-16,0.1572530944687576
1997-07-17,0.15501100502867532
1997-07-18,0.17279421865328712
1997-07-21,0.19057397933610978
1997-07-22,0.19036864447697263
1997-07-23,0.19201075282389785
1997-07-24,0.2214092111905013
1997-07-25,0.20851400240751222
1997-07-28,0.1985395829551377
1997-07-29,0.19158321325210095
1997-07-30,0.1941685937529548
1997-07-31,0.19346981159860577
1997-08-01,0.22272245688300046
1997-08-04,0.2512102123720292
1997-08-05,0.2626818570057704
1997-08-06,0.2572837569688379
1997-08-07,0.25179526683398956
1997-08-08,0.2497049490899209
1997-08-11,0.2609098878923526
1997-08-12,0.2511685784488179
1997-08-13,0.2419949883778588
1997-08-14,0.25406067464288923
1997-08-15,0.2807984166622027
1997-08-18,0.2825406434479826
1997-08-19,0.2820670005512875
1997-08-20,0.2643603676801801
1997-08-21,0.2500714201983105
1997-08-22,0.28462620750732004
1997-08-25,0.2728560081801389
1997-08-26,0.27557427819010977
1997-08-27,0.25839510444278935
1997-08-28,0.26372421731801576
1997-08-29,0.27603062438794723
1997-09-02,0.27465729263939087
1997-09-03,0.26625359490530826
1997-09-04,0.24982667831918992
1997-09-05,0.2388167104706034
1997-09-08,0.2289928985798468
1997-09-09,0.22940223800128892
1997-09-10,0.27564317368656166
1997-09-11,0.26054836096202943
1997-09-12,0.2646209039361781
1997-09-15,0.2546776739331503
1997-09-16,0.250426386788613
1997-09-17,0.23526309867890458
1997-09-18,0.22129314494579355
1997-09-19,0.2125272330784928
1997-09-22,0.20682315054171285
1997-09-23,0.20895779382449461
1997-09-24,0.20350617582766375
1997-09-25,0.20045952409401754
