,"美国iShares安硕MSCI德国指数ETF - 广义自回归条件异方差（GARCH）模型波动率预测"
1996-04-02,0.0907979942509745
1996-04-03,0.10130580595405181
1996-04-04,0.10227049897208873
1996-04-08,0.10314932244081879
1996-04-09,0.10393295011689027
1996-04-10,0.1024599816513745
1996-04-11,0.10111762457652969
1996-04-12,0.09989561792190887
1996-04-15,0.09878427040779317
1996-04-16,0.0977745206073648
1996-04-17,0.09915307075426359
1996-04-18,0.098109493118658
1996-04-19,0.09945004796378934
1996-04-22,0.10063981021444746
1996-04-23,0.09946094328931332
1996-04-24,0.10873197781701573
1996-04-25,0.1089877861046824
1996-04-26,0.10921721402782622
1996-04-29,0.11563115099314718
1996-04-30,0.14529885106221593
1996-05-01,0.1423048651311683
1996-05-02,0.1378087779497373
1996-05-03,0.1354256675818879
1996-05-06,0.13143015955251672
1996-05-07,0.12773202558481564
1996-05-08,0.12621596491727977
1996-05-09,0.12291417298261419
1996-05-10,0.11986866012432107
1996-05-13,0.1342842908161636
1996-05-14,0.1460328153532623
1996-05-15,0.14352570891655614
1996-05-16,0.13894217761356703
1996-05-17,0.14142563332013047
1996-05-20,0.1369927812696713
1996-05-21,0.1397057347427084
1996-05-22,0.13539717574602508
1996-05-23,0.13830044902313224
1996-05-24,0.13409406429816348
1996-05-28,0.13196281794505604
1996-05-29,0.13003352906077725
1996-05-30,0.12644060961574016
1996-05-31,0.1250041949696089
1996-06-03,0.1217959654504204
1996-06-04,0.12077015310083862
1996-06-05,0.1266533162613597
1996-06-06,0.1233179038096253
1996-06-07,0.12024082035648294
1996-06-10,0.12619979160046185
1996-06-12,0.1228992567918944
1996-06-17,0.12177068957676145
1996-06-18,0.1620018222119739
1996-06-19,0.16177330805791174
1996-06-20,0.1626493430666106
1996-06-21,0.15821174381189282
1996-06-24,0.15852898271294116
1996-06-25,0.1670128749528012
1996-06-26,0.1621942058151277
1996-06-27,0.15773728525621328
1996-06-28,0.15879991561710605
1996-07-01,0.155085646918082
1996-07-02,0.14969240902597566
1996-07-03,0.14671763452291617
1996-07-05,0.14900221018494994
1996-07-08,0.14403114288236415
1996-07-09,0.15475905388700203
1996-07-11,0.15091581626854092
1996-07-12,0.15298060700624772
1996-07-15,0.14773251490447187
1996-07-16,0.1428506292600771
1996-07-17,0.144646682920833
1996-07-18,0.1471708835333946
1996-07-19,0.1444063940412612
1996-07-22,0.17762921719131683
1996-07-23,0.17689594568559228
1996-07-24,0.1830655653038004
1996-07-25,0.2074612339691442
1996-07-26,0.19868663669205336
1996-07-29,0.19510112454827114
1996-07-30,0.18709297902379984
1996-07-31,0.22130026208750864
1996-08-01,0.21168380948953086
1996-08-02,0.20265063730469737
1996-08-05,0.19526657778534454
1996-08-06,0.1883822571263016
1996-08-07,0.18197192860438668
1996-08-09,0.1747962093410495
1996-08-12,0.16934744639350194
1996-08-13,0.17549733331307343
1996-08-14,0.16997469458716494
1996-08-15,0.16955297225351137
1996-08-16,0.16448587173371457
1996-08-19,0.16025785472169532
1996-08-20,0.1545118376047609
1996-08-21,0.15568580744563712
1996-08-22,0.1516625009684332
1996-08-23,0.15309055555454754
1996-08-26,0.14918446621548773
1996-08-27,0.14420062524136296
1996-08-28,0.15410641595988145
1996-08-29,0.15023056719589392
1996-08-30,0.14721124535849836
1996-09-03,0.1439098255158417
1996-09-04,0.1408762180071569
1996-09-05,0.13648297740011392
1996-09-06,0.1346406002660416
1996-09-09,0.13235129481799565
1996-09-10,0.13630742107456953
1996-09-11,0.13224696079683645
1996-09-12,0.1307855125004295
1996-09-13,0.1415331630396212
1996-09-16,0.13917195622682035
1996-09-17,0.13490213386006908
1996-09-18,0.14634197292643011
1996-09-19,0.1430681864007509
1996-09-20,0.1455232249505212
1996-09-23,0.16506916005117372
1996-09-24,0.18084464824815802
1996-09-25,0.17494053389652156
1996-09-26,0.1682197562713726
1996-09-27,0.16322645741423172
1996-09-30,0.15909615205906147
1996-10-01,0.1552897068063431
1996-10-02,0.15533847971446096
1996-10-03,0.15130398924020477
1996-10-04,0.15171475709369872
1996-10-07,0.14655441610541797
1996-10-08,0.1417556398878013
1996-10-09,0.1372990214094769
1996-10-10,0.14650609024883574
1996-10-11,0.14746941906714084
1996-10-14,0.14832999480887202
1996-10-15,0.14909930704064323
1996-10-16,0.1455524787834271
1996-10-17,0.14228884692764926
1996-10-18,0.14459249980548783
1996-10-21,0.13993289091560998
1996-10-22,0.1356078661435243
1996-10-23,0.13870149011456223
1996-10-24,0.14052178564194237
1996-10-25,0.14922751730160225
1996-10-28,0.14614935306049082
1996-10-29,0.14332602527105817
1996-10-30,0.13875677496972896
1996-10-31,0.14773545735536883
1996-11-01,0.14856776272125793
1996-11-04,0.14505088665706253
1996-11-05,0.14612190020664254
1996-11-06,0.1756476097190053
1996-11-07,0.17357371575212646
1996-11-08,0.1716881416988372
1996-11-11,0.1706981335574587
1996-11-12,0.16587622614467695
1996-11-13,0.16540528770266083
1996-11-14,0.15931332147689345
1996-11-15,0.1585614711082109
1996-11-18,0.15293057954509948
1996-11-19,0.14768594814673466
1996-11-20,0.1446059363926668
1996-11-21,0.14178026787956075
1996-11-22,0.14281613732348317
1996-11-25,0.13828338381743485
1996-11-26,0.13552337082584687
1996-11-27,0.13838727311425716
1996-11-29,0.1409119359032442
1996-12-02,0.13793568979781845
1996-12-03,0.13375592233617173
1996-12-04,0.13677641244015726
1996-12-05,0.14667677607583282
1996-12-06,0.16408598111965567
1996-12-09,0.1593321436496729
1996-12-10,0.1549345136501225
1996-12-11,0.15483162816427398
1996-12-12,0.151298759413288
1996-12-13,0.14756655108797523
1996-12-16,0.14412927197484904
1996-12-17,0.1395026606197889
1996-12-18,0.1411824415428491
1996-12-19,0.1382742717934179
1996-12-20,0.1485202955827923
1996-12-23,0.14498128155041257
1996-12-24,0.14172471330011574
1996-12-26,0.13727032177422765
1996-12-27,0.1331392145087239
1996-12-30,0.13085106571977165
1996-12-31,0.13428441279612463
