,"美国iShares安硕MSCI英国指数ETF - 指数GARCH模型波动率预测"
1996-04-08,0.1633423607029114
1996-04-09,0.15942764377610302
1996-04-10,0.15016370706665444
1996-04-15,0.14768409677416183
1996-04-16,0.14206158199879373
1996-04-19,0.1429474180249507
1996-04-22,0.13491969211349394
1996-04-24,0.1483200643203744
1996-04-29,0.14914368374155174
1996-04-30,0.1499481594418551
1996-05-02,0.19740312763479712
1996-05-03,0.18798567817788672
1996-05-06,0.17930472721041127
1996-05-07,0.18788484345470763
1996-05-08,0.18206427326633853
1996-05-09,0.17712444100123506
1996-05-10,0.16925627787470693
1996-05-13,0.19070365492040264
1996-05-14,0.18179354443983978
1996-05-16,0.18015293503021262
1996-05-17,0.17207622380793924
1996-05-20,0.16184300170226704
1996-05-21,0.15846295226329718
1996-05-22,0.17024290293577587
1996-05-24,0.16952822419880412
1996-05-28,0.15949164743020244
1996-05-29,0.15920010427132264
1996-05-30,0.18163850252630911
1996-05-31,0.1734451083196064
1996-06-03,0.17200444994243608
1996-06-04,0.1617768129244732
1996-06-05,0.16158978061746357
1996-06-06,0.15769826720671348
1996-06-07,0.19130198117113165
1996-06-10,0.1888916356009445
1996-06-11,0.18012530638419466
1996-06-12,0.17815010412570628
1996-06-13,0.1864268167405108
1996-06-14,0.20637440248247843
1996-06-17,0.20812278971799317
1996-06-18,0.19776062803298333
1996-06-19,0.19463700367607392
1996-06-21,0.2014974113977646
1996-06-24,0.18894872637834847
1996-06-25,0.19817782923425115
1996-06-26,0.18589441842077992
1996-06-28,0.18349798146028748
1996-07-01,0.17237559339999384
1996-07-02,0.18294342404142325
1996-07-05,0.18074157241763722
1996-07-08,0.16983490453967345
1996-07-09,0.16900872166843936
1996-07-11,0.1617589762578881
1996-07-12,0.16157332700665664
1996-07-15,0.18377634668259135
1996-07-16,0.2403055504976945
1996-07-18,0.2454836483352812
1996-07-23,0.2325446357153826
1996-07-24,0.23795262469659798
1996-07-25,0.22519565892796425
1996-07-29,0.21394249227304052
1996-07-30,0.20590087323758488
1996-07-31,0.19892310273067831
1996-08-01,0.1972123789218111
1996-08-02,0.19367875464283635
1996-08-12,0.18757455797628847
1996-08-14,0.18658429515905137
1996-08-15,0.18102132250096947
1996-08-21,0.17273003792044975
1996-08-22,0.1708744591798318
1996-08-23,0.16332600650233262
1996-08-27,0.15661537165936174
1996-08-28,0.16587728958480122
1996-08-29,0.1587646824706301
1996-08-30,0.17976925209834968
1996-09-03,0.18023488674504723
1996-09-04,0.1781781804823475
1996-09-05,0.1674715438514854
1996-09-06,0.1602238072197762
1996-09-09,0.15396154792674696
1996-09-10,0.14511108972094447
1996-09-11,0.14731056621980654
1996-09-12,0.13895864507111458
1996-09-13,0.13970160399938147
1996-09-16,0.13191354032092384
1996-09-17,0.12469507271740934
1996-09-18,0.12683996026489444
1996-09-19,0.12886350173730343
1996-09-20,0.12715918779231017
1996-09-23,0.16194075583373074
1996-09-24,0.15823280721771954
1996-09-25,0.1688767870371769
1996-09-30,0.16152044576461522
1996-10-01,0.1664642556226411
1996-10-03,0.1618081196973749
1996-10-04,0.15789871133103017
1996-10-07,0.17748047667278788
1996-10-08,0.16682816309004905
1996-10-09,0.17625629861085818
1996-10-11,0.1765806218133802
1996-10-17,0.1689407908114556
1996-10-18,0.16145943143712602
1996-10-21,0.15707554004363633
1996-10-22,0.15088926403160696
1996-10-23,0.16103841280886994
1996-10-24,0.1901734240108223
1996-10-28,0.19762493567361383
1996-10-30,0.23241954737069773
1996-10-31,0.22487813499760265
1996-11-05,0.21330654842268673
1996-11-06,0.1998067746599199
1996-11-07,0.2245157749468843
1996-11-11,0.22060803067884904
1996-11-12,0.2089629191985985
1996-11-14,0.1982557620852418
1996-11-15,0.18596611626852888
1996-11-18,0.18245252204340723
1996-11-19,0.1738193372441628
1996-11-20,0.16345124410661427
1996-11-21,0.1562850499568017
1996-11-22,0.15248965827229072
1996-11-25,0.1485341488008734
1996-11-26,0.14284677469232548
1996-11-27,0.17139021792389436
1996-11-29,0.16599468184252167
1996-12-02,0.15622965288318347
1996-12-03,0.1741167952840851
1996-12-04,0.21023662668526621
1996-12-05,0.20474995384614864
1996-12-09,0.19194052516339535
1996-12-12,0.18015279514900676
1996-12-13,0.1773954768307242
1996-12-16,0.16674982338821234
1996-12-17,0.15692681300529876
1996-12-19,0.15816112442695898
1996-12-20,0.1562326449881714
1996-12-23,0.15016072828805807
1996-12-24,0.14159579612403753
1996-12-26,0.13882787630731805
1996-12-30,0.13344748090541086
1996-12-31,0.14405001131551498
1997-01-02,0.24402067125553115
1997-01-03,0.22799529468828958
1997-01-06,0.22312641528962904
1997-01-07,0.21652363196658236
1997-01-08,0.2027627095893128
1997-01-09,0.19011272445578176
1997-01-10,0.2043968492907853
1997-01-13,0.19161576553091866
1997-01-14,0.18495865916469012
1997-01-15,0.1737215945125994
1997-01-16,0.17810610657695036
1997-01-17,0.17504040333591556
1997-01-20,0.17224931001313185
1997-01-21,0.16200275553212048
1997-01-22,0.1698259273491536
1997-01-23,0.17574062478550598
1997-01-24,0.1914507769636885
1997-01-27,0.179701813012557
1997-01-28,0.1740132822516718
1997-01-29,0.18120352645575086
1997-01-30,0.17026073886836038
1997-01-31,0.17649283271566582
1997-02-03,0.17598551304013632
1997-02-04,0.1830087735601766
1997-02-05,0.17946375121455585
1997-02-06,0.1764835516415057
1997-02-07,0.17060768681392993
1997-02-10,0.16280892481679252
1997-02-11,0.16592969354518797
1997-02-12,0.1907083459107126
1997-02-13,0.20469868587756004
1997-02-14,0.20649549825601526
1997-02-18,0.2679490906870184
1997-02-19,0.2624482028896369
1997-02-20,0.24487466508399763
1997-02-21,0.22877804090427908
1997-02-24,0.21401503778940395
1997-02-25,0.20274561992802706
1997-02-26,0.19972528332687375
1997-02-27,0.23003706570898527
1997-02-28,0.21517039015626663
1997-03-03,0.20151948392153052
1997-03-04,0.19797382554267118
1997-03-05,0.18570670747175502
1997-03-06,0.18416228604141513
1997-03-07,0.18860558846439307
1997-03-10,0.18439025028455272
1997-03-11,0.18208655634065907
1997-03-12,0.1760196614017877
1997-03-13,0.22035698219026326
1997-03-14,0.21872289592084318
1997-03-17,0.23829920604148055
1997-03-18,0.2396798890186659
1997-03-19,0.22401574319676731
1997-03-20,0.22541493739324373
1997-03-21,0.21325148815424477
1997-03-25,0.2119171290858764
1997-03-26,0.2034702002751263
1997-03-27,0.19076350594387806
1997-03-31,0.18794438539099806
1997-04-01,0.17912052143738305
1997-04-02,0.2233042820906039
1997-04-03,0.21634572332264856
1997-04-04,0.2048774218892848
1997-04-07,0.21736746306657767
1997-04-08,0.21087095390309213
1997-04-10,0.1998388700928826
1997-04-11,0.20296301732089028
1997-04-14,0.19257871845040406
1997-04-15,0.18569585132684036
1997-04-16,0.17440088646563698
1997-04-17,0.16624983368412735
1997-04-18,0.15872130480814478
1997-04-21,0.15176099261668
1997-04-22,0.1479713365486708
1997-04-23,0.14707572620932388
1997-04-24,0.1387413097819103
1997-04-25,0.17715011939030695
1997-04-28,0.17889387133158027
1997-04-29,0.17753683674099865
1997-04-30,0.19995428277483832
1997-05-01,0.1919827961042343
1997-05-02,0.18239505585404447
1997-05-05,0.17874005035246018
1997-05-06,0.18465669443591803
1997-05-07,0.18250444706910568
1997-05-08,0.2032025678971602
1997-05-09,0.20174813307686393
1997-05-12,0.18917944814381926
1997-05-13,0.18866403472840287
1997-05-14,0.18405867216732824
1997-05-15,0.17289226703354896
1997-05-16,0.16467267532896887
1997-05-19,0.17692671364155274
1997-05-20,0.19776706298066926
1997-05-21,0.19662889818132023
1997-05-22,0.19143215090470045
