,"iShares MSCI United Kingdom ETF - GARCH Volatility"
1996-04-08,0.15376096175557696
1996-04-09,0.15482021844707494
1996-04-10,0.14832121116010347
1996-04-15,0.15114471489271467
1996-04-16,0.1467741150203264
1996-04-19,0.1587608730134727
1996-04-22,0.1519894308167512
1996-04-24,0.15403475971351402
1996-04-29,0.14941147184871717
1996-04-30,0.14518347922542701
1996-05-02,0.18555710819044366
1996-05-03,0.178604228393395
1996-05-06,0.1721533107436508
1996-05-07,0.17127439037988137
1996-05-08,0.17048704114976013
1996-05-09,0.17079030300342
1996-05-10,0.16488181221711506
1996-05-13,0.1745026532749574
1996-05-14,0.16834561948562843
1996-05-16,0.16266042050849372
1996-05-17,0.1574192192840506
1996-05-20,0.1507402426693018
1996-05-21,0.15326332163958864
1996-05-22,0.15547805337088577
1996-05-24,0.15081054843743524
1996-05-28,0.14459151510375706
1996-05-29,0.15764952102686516
1996-05-30,0.16843900142187973
1996-05-31,0.16274661286797953
1996-06-03,0.1725534908368996
1996-06-04,0.16484696175544153
1996-06-05,0.15938164009696976
1996-06-06,0.15953224877748073
1996-06-07,0.1812497613791533
1996-06-10,0.174585308660265
1996-06-11,0.16842201993801165
1996-06-12,0.177342126974952
1996-06-13,0.17567723358477616
1996-06-14,0.18379945048884125
1996-06-17,0.21357432149020164
1996-06-18,0.2045375359194493
1996-06-19,0.19613081348936479
1996-06-21,0.19266028962918125
1996-06-24,0.18363231088237167
1996-06-25,0.18253523605046781
1996-06-26,0.1741672988824251
1996-06-28,0.1823670068844691
1996-07-01,0.17401009625880906
1996-07-02,0.17385738983431218
1996-07-05,0.18195807978762582
1996-07-08,0.17362807837443808
1996-07-09,0.16748771895276382
1996-07-11,0.1618173859633136
1996-07-12,0.1565895364320362
1996-07-15,0.16755526133189608
1996-07-16,0.21866159333545526
1996-07-18,0.2702456282717632
1996-07-23,0.257867491553317
1996-07-24,0.25007363715513875
1996-07-25,0.23862854649014648
1996-07-29,0.22836962407465666
1996-07-30,0.2220767056672086
1996-07-31,0.21707616082840603
1996-08-01,0.20824958487353584
1996-08-02,0.21121490572400425
1996-08-12,0.20695603881017824
1996-08-14,0.1987833232441796
1996-08-15,0.19561413445863263
1996-08-21,0.18774644284246772
1996-08-22,0.1924285685650652
1996-08-23,0.18473801233097642
1996-08-27,0.17788156396883856
1996-08-28,0.17564667716754565
1996-08-29,0.1692339434037983
1996-08-30,0.17686759454461976
1996-09-03,0.19323795279395817
1996-09-04,0.18552749984840522
1996-09-05,0.17696345724470916
1996-09-06,0.17043914339141697
1996-09-09,0.1649338449197132
1996-09-10,0.15774055230028836
1996-09-11,0.15325816689494887
1996-09-12,0.14686788920659274
1996-09-13,0.1574494398846817
1996-09-16,0.1507683755964758
1996-09-17,0.1445523045821131
1996-09-18,0.14051955294548868
1996-09-19,0.13684026512689898
1996-09-20,0.13885427584341795
1996-09-23,0.16245904960943236
1996-09-24,0.16278493173509642
1996-09-25,0.16307493369613862
1996-09-30,0.15760528480986924
1996-10-01,0.1913766568837485
1996-10-03,0.18752806829912158
1996-10-04,0.18480879524524801
1996-10-07,0.18905185955181714
1996-10-08,0.180257955164259
1996-10-09,0.17841428530249479
1996-10-11,0.19286743115414795
1996-10-17,0.1855243757569339
1996-10-18,0.17824584258826348
1996-10-21,0.1753782552085634
1996-10-22,0.1692805446588591
1996-10-23,0.16814716054694473
1996-10-24,0.183856135062173
1996-10-28,0.23475944453844663
1996-10-30,0.2484639917573571
1996-10-31,0.24441654526647744
1996-11-05,0.23343602806764857
1996-11-06,0.22183226095408215
1996-11-07,0.22873496803068832
1996-11-11,0.23471741562994425
1996-11-12,0.22401990536557237
1996-11-14,0.21402439860913056
1996-11-15,0.20363281366223862
1996-11-18,0.20470016316554318
1996-11-19,0.1959787559915615
1996-11-20,0.18673651276598263
1996-11-21,0.179264386870343
1996-11-22,0.1766866242815228
1996-11-25,0.17345171893065803
1996-11-26,0.16732356319418973
1996-11-27,0.1806509230532742
1996-11-29,0.17709214211816401
1996-12-02,0.16908348115649854
1996-12-03,0.17390347667599979
1996-12-04,0.19737459410977898
1996-12-05,0.1991606165887222
1996-12-09,0.18971391830859433
1996-12-12,0.18087697365889338
1996-12-13,0.173846011170806
1996-12-16,0.16605319509121166
1996-12-17,0.15878396644497833
1996-12-19,0.17434770431525617
1996-12-20,0.1771968430870031
1996-12-23,0.1710216512608857
1996-12-24,0.16341770773083317
1996-12-26,0.16221137321408755
1996-12-30,0.15646818820450376
1996-12-31,0.20728588085057797
1997-01-02,0.28551920916113505
1997-01-03,0.27074874847356173
1997-01-06,0.2699191545629913
1997-01-07,0.25684919388621796
1997-01-08,0.24380897932602894
1997-01-09,0.2315657617179189
1997-01-10,0.22895806602956797
1997-01-13,0.21763197651080596
1997-01-14,0.21149182111845366
1997-01-15,0.2012600884427909
1997-01-16,0.22677483193687964
1997-01-17,0.21646030952578812
1997-01-20,0.20683923322232656
1997-01-21,0.19690233010302344
1997-01-22,0.19237152803884466
1997-01-23,0.18759585070038196
1997-01-24,0.1897995753419907
1997-01-27,0.18095706562607608
1997-01-28,0.17807950471629239
1997-01-29,0.17547450071164186
1997-01-30,0.16757315775505338
1997-01-31,0.1652328865571258
1997-02-03,0.1789271829544075
1997-02-04,0.17624150022057802
1997-02-05,0.17983631557613716
1997-02-06,0.17279976041650058
1997-02-07,0.16980418722752394
1997-02-10,0.1634823843721396
1997-02-11,0.1878967131165418
1997-02-12,0.19671128793234008
1997-02-13,0.19760019635617776
1997-02-14,0.22388724036889643
1997-02-18,0.26901638165732583
1997-02-19,0.2763333725773997
1997-02-20,0.2621143727459446
1997-02-21,0.24875434870570604
1997-02-24,0.23620803627311243
1997-02-25,0.22528756823224844
1997-02-26,0.22894623386288754
1997-02-27,0.23969360942670126
1997-02-28,0.22770347823430367
1997-03-03,0.21645541989056313
1997-03-04,0.20718811452397554
1997-03-05,0.1972290536406845
1997-03-06,0.20484211773949224
1997-03-07,0.1988894657843899
1997-03-10,0.19921558673959225
1997-03-11,0.19110606583779596
1997-03-12,0.18693161530356495
1997-03-13,0.21684101272591402
1997-03-14,0.23107624196355628
1997-03-17,0.23414301783311842
1997-03-18,0.22656454444594812
1997-03-19,0.2153873561748693
1997-03-20,0.2087371629585877
1997-03-21,0.19967726861112658
1997-03-25,0.2156964784135337
1997-03-26,0.20946351472273161
1997-03-27,0.19936011938198672
1997-03-31,0.1912403221080743
1997-04-01,0.18369947305313644
1997-04-02,0.21464565404405467
1997-04-03,0.21352163169103033
1997-04-04,0.2040980852433457
1997-04-07,0.20401812272442857
1997-04-08,0.20394684013242273
1997-04-10,0.1951657603167113
1997-04-11,0.19001706344431285
1997-04-14,0.18220989435263937
1997-04-15,0.17887583962067097
1997-04-16,0.17074898418438686
1997-04-17,0.16429931588415092
1997-04-18,0.15831922940691695
1997-04-21,0.15278161944422505
1997-04-22,0.15211442653476362
1997-04-23,0.1470341446059384
1997-04-24,0.14108153940186505
1997-04-25,0.16992746805622688
1997-04-28,0.19202341732195063
1997-04-29,0.19920167167973266
1997-04-30,0.20538944763546155
1997-05-01,0.1991811768215059
1997-05-02,0.1906657263380076
1997-05-05,0.18274027142367935
1997-05-06,0.22142816081067918
1997-05-07,0.22383557089971198
1997-05-08,0.22596011152413606
1997-05-09,0.23446787839702052
1997-05-12,0.2228002307000601
1997-05-13,0.23105301209895535
1997-05-14,0.22031008964638912
1997-05-15,0.20952353948900349
1997-05-16,0.2002013985965133
1997-05-19,0.19800481812319617
1997-05-20,0.20300789639814507
1997-05-21,0.214467480052338
1997-05-22,0.20482630885704112
1997-05-23,0.19613370439575142
1997-05-27,0.1908537094216405
1997-05-28,0.18280907089091614
1997-05-29,0.17532666311773576
1997-05-30,0.17678023305788462
1997-06-02,0.17827637757145506
1997-06-04,0.17407619366243046
1997-06-05,0.17024460520086973
