,"美国iShares安硕MSCI香港指数ETF - 指数GARCH模型波动率预测"
1996-04-02,0.20505766115900181
1996-04-03,0.2019425839192913
1996-04-04,0.22410549390856083
1996-04-08,0.22645067542403138
1996-04-09,0.2233683719777713
1996-04-10,0.22704675465639226
1996-04-11,0.2134736508330712
1996-04-12,0.2009158390968716
1996-04-15,0.192541224676691
1996-04-16,0.18531256190555456
1996-04-17,0.20052657978432684
1996-04-18,0.20626026083567334
1996-04-19,0.1980908337101947
1996-04-22,0.19665484891047055
1996-04-23,0.20960987762984837
1996-04-25,0.21470915956241832
1996-04-26,0.2053713495110747
1996-04-29,0.1934133387333976
1996-04-30,0.2004829678551273
1996-05-01,0.20596658563951584
1996-05-02,0.23792487637907894
1996-05-03,0.23020050738432354
1996-05-06,0.22422004816697372
1996-05-07,0.2180739104065408
1996-05-08,0.2084516922454697
1996-05-09,0.19953340772913192
1996-05-10,0.19126074558047712
1996-05-13,0.19617263111861452
1996-05-14,0.19539952302910057
1996-05-15,0.20976628995146004
1996-05-16,0.20405603936174005
1996-05-17,0.19597862740615365
1996-05-20,0.18793627324175607
1996-05-21,0.18758597708784097
1996-05-22,0.21086701022208285
1996-05-23,0.20498139232623044
1996-05-24,0.19624654493773896
1996-05-28,0.1886767903055381
1996-05-29,0.18111004720887242
1996-05-30,0.17845234658025652
1996-05-31,0.16845119411865267
1996-06-03,0.20452774090572653
1996-06-04,0.20302794290441895
1996-06-05,0.1912425622083118
1996-06-06,0.19059844070715795
1996-06-07,0.18724108203062703
1996-06-10,0.1766074494465055
1996-06-11,0.19205405801492453
1996-06-12,0.19811951847306716
1996-06-13,0.22131534967100677
1996-06-14,0.2187321704733897
1996-06-17,0.22157281873009604
1996-06-18,0.22230733591134594
1996-06-19,0.20909022932695828
1996-06-20,0.2058362417068481
1996-06-21,0.19384399191102106
1996-06-24,0.18981391413697787
1996-06-25,0.18665518798040412
1996-06-26,0.17929418618572104
1996-06-27,0.169232752149222
1996-06-28,0.15988789822872776
1996-07-01,0.1512004749992539
1996-07-02,0.1691984255245893
1996-07-03,0.15985597893103656
1996-07-05,0.1589958565497856
1996-07-08,0.15037073425371042
1996-07-09,0.1502257864682359
1996-07-10,0.15149309093156693
1996-07-11,0.1687378048926796
1996-07-12,0.16279112383665148
1996-07-15,0.1808620656743697
1996-07-16,0.2073258131540788
1996-07-17,0.20628695450755
1996-07-18,0.2051615402554777
1996-07-19,0.1999536526298032
1996-07-22,0.19630040550136416
1996-07-23,0.1929567816895794
1996-07-24,0.2178804396911297
1996-07-25,0.2084007303250159
1996-07-26,0.2142157641257991
1996-07-29,0.20976616981772825
1996-07-30,0.19748340791063942
1996-07-31,0.20079370010037667
1996-08-01,0.19655570508128226
1996-08-02,0.20304023049632305
1996-08-05,0.2171538680291005
1996-08-06,0.21154430174315736
1996-08-08,0.21649080904278592
1996-08-13,0.2109314144455491
1996-08-14,0.21592633743941472
1996-08-15,0.21040970034672832
1996-08-16,0.2329961390238044
1996-08-19,0.2223097163868462
1996-08-20,0.230194048576413
1996-08-21,0.21638369254636544
1996-08-22,0.21066530611375
1996-08-23,0.20594810996947752
1996-08-26,0.20057803468974364
1996-08-27,0.1981386605385229
1996-08-28,0.19458456053859977
1996-08-29,0.1996262758256037
1996-08-30,0.2058610317665779
1996-09-03,0.193866935809075
1996-09-04,0.18275233733115429
1996-09-05,0.17244246344795705
1996-09-06,0.17029522130699967
1996-09-09,0.1702861943905025
1996-09-10,0.17176158825534887
1996-09-11,0.17857254996219327
1996-09-12,0.17533011264469092
1996-09-13,0.17976553729789255
1996-09-16,0.16967027199836746
1996-09-17,0.16356421491267578
1996-09-18,0.16240118103018833
1996-09-19,0.16135763756327123
1996-09-20,0.16317472966118252
1996-09-23,0.17157023867792456
1996-09-24,0.1620597556458728
1996-09-25,0.16104083829886132
1996-09-26,0.16288111492742183
1996-09-30,0.16052141913152898
1996-10-01,0.158822527369388
1996-10-02,0.15663328726678757
1996-10-03,0.148172889423133
1996-10-04,0.14346134503760935
1996-10-07,0.1428150521478741
1996-10-08,0.1353067195670636
1996-10-09,0.13462754487845346
1996-10-10,0.12767375313665688
1996-10-11,0.12481682482742461
1996-10-14,0.13521100310255818
1996-10-15,0.1416145352709248
1996-10-16,0.14923542019239266
1996-10-17,0.14749841504233188
