,"iShares MSCI Hong Kong ETF - GARCH Volatility"
1996-04-02,0.21935606123378493
1996-04-03,0.21180145325280467
1996-04-04,0.22019264292886806
1996-04-08,0.215253819478308
1996-04-09,0.21657343881464322
1996-04-10,0.21254365481001777
1996-04-11,0.2040743158753693
1996-04-12,0.19607896266555472
1996-04-15,0.18964642785984662
1996-04-16,0.18401670358964697
1996-04-17,0.18866704004674478
1996-04-18,0.18702097208602034
1996-04-19,0.1816228245568271
1996-04-22,0.18549116205361377
1996-04-23,0.1889302537975324
1996-04-25,0.18731038091894425
1996-04-26,0.181475899226316
1996-04-29,0.17477631304041172
1996-04-30,0.20107387597597057
1996-05-01,0.1982553807592621
1996-05-02,0.2187321704733897
1996-05-03,0.21404959425329448
1996-05-06,0.20655400649709027
1996-05-07,0.20348227539518032
1996-05-08,0.19660999364223583
1996-05-09,0.19015414273688597
1996-05-10,0.1840946767291222
1996-05-13,0.18193792787651508
1996-05-14,0.18683007680777738
1996-05-15,0.19115774951594297
1996-05-16,0.1884267974572619
1996-05-17,0.1828770865909669
1996-05-20,0.1772611124866365
1996-05-21,0.1822938243605636
1996-05-22,0.19459770502243856
1996-05-23,0.1914716386308949
1996-05-24,0.18528794672077298
1996-05-28,0.17988927594495455
1996-05-29,0.17442494317040783
1996-05-30,0.16931783131141268
1996-05-31,0.1633388894293089
1996-06-03,0.1910211925415607
1996-06-04,0.19468839718894398
1996-06-05,0.18722526752551324
1996-06-06,0.19102106061897992
1996-06-07,0.18484540351331433
1996-06-10,0.17794933885800196
1996-06-11,0.18290085511008417
1996-06-12,0.18155114651249107
1996-06-13,0.19484146170669117
1996-06-14,0.1984837272926927
1996-06-17,0.19521275470624352
1996-06-18,0.20628591614552846
1996-06-19,0.19816625747084188
1996-06-20,0.19198450249955074
1996-06-21,0.18467614031054472
1996-06-24,0.18317345550051733
1996-06-25,0.17753839810024197
1996-06-26,0.17226957131194123
1996-06-27,0.16611388743870875
1996-06-28,0.16032812853644862
1996-07-01,0.15489531832821804
1996-07-02,0.16312306274711738
