,"iShares MSCI Hong Kong ETF - GJR-GARCH Volatility"
1996-04-02,0.20476724542758298
1996-04-03,0.19915530221412636
1996-04-04,0.21732514350622203
1996-04-08,0.21481945721931245
1996-04-09,0.21119718748127306
1996-04-10,0.21014952676606247
1996-04-11,0.20222004648402195
1996-04-12,0.19473731845745437
1996-04-15,0.1881885246235806
1996-04-16,0.18221756995416222
1996-04-17,0.19259533639213594
1996-04-18,0.19344708113590137
1996-04-19,0.18717896035612552
1996-04-22,0.18528821872963214
1996-04-23,0.19375394499209558
1996-04-25,0.19456377360649643
1996-04-26,0.18804458513873779
1996-04-29,0.18137609985882924
1996-04-30,0.19006818145076257
1996-05-01,0.19094829142990516
1996-05-02,0.22528689708902291
1996-05-03,0.21834564708278478
1996-05-06,0.21147299402051317
1996-05-07,0.20572566004268888
1996-05-08,0.19853361730447566
1996-05-09,0.19176234666899547
1996-05-10,0.18539264063063562
1996-05-13,0.1856495698890789
1996-05-14,0.18437145766088633
1996-05-15,0.194448466180631
1996-05-16,0.1894401541384508
1996-05-17,0.18339193112021043
1996-05-20,0.1775226419361767
1996-05-21,0.17675735232232917
1996-05-22,0.19868587569326612
1996-05-23,0.1933383417742068
1996-05-24,0.18685523059309847
1996-05-28,0.18094153751971934
1996-05-29,0.1752046643214729
1996-05-30,0.1710019789359176
1996-05-31,0.16534448766136717
1996-06-03,0.20640767427593384
1996-06-04,0.20335238380702594
1996-06-05,0.1958055392474891
1996-06-06,0.19346173575154338
1996-06-07,0.18803138461437763
1996-06-10,0.1813636644976055
1996-06-11,0.19128432868376855
1996-06-12,0.19198259921149102
1996-06-13,0.21230479222099533
1996-06-14,0.208963582473119
1996-06-17,0.2071994256748797
1996-06-18,0.2075898899272313
1996-06-19,0.19980406302175138
1996-06-20,0.19459822301346946
1996-06-21,0.18755064276082872
1996-06-24,0.18333152920324422
1996-06-25,0.17863364408755705
1996-06-26,0.17305922223331524
1996-06-27,0.1672775466104163
1996-06-28,0.16184658291110135
1996-07-01,0.15675023942565447
1996-07-02,0.17087136214123186
1996-07-03,0.16522175280513157
1996-07-05,0.1618430795554756
1996-07-08,0.1567469195869571
1996-07-09,0.15401325306609168
1996-07-10,0.15225808116484327
1996-07-11,0.1662101152156511
1996-07-12,0.16146910788135294
1996-07-15,0.17617020746993517
1996-07-16,0.20185820964231305
1996-07-17,0.19977221428416914
1996-07-18,0.19770315020251952
1996-07-19,0.1925704089417686
1996-07-22,0.18736465835370342
1996-07-23,0.18252322482358238
1996-07-24,0.2063551695499776
1996-07-25,0.1991646655408534
1996-07-26,0.19998307828413883
1996-07-29,0.1944064073018171
1996-07-30,0.1873699036665174
1996-07-31,0.1905754999993441
1996-08-01,0.18635090125888848
1996-08-02,0.19389488079884934
1996-08-05,0.20312336940883982
1996-08-06,0.1979355713357253
1996-08-08,0.1983504353410902
1996-08-13,0.19348856710410567
1996-08-14,0.1943236887257959
1996-08-15,0.18974054917175717
1996-08-16,0.21116747476825118
1996-08-19,0.20367581299702722
1996-08-20,0.21417741057357098
1996-08-21,0.2060230424006014
1996-08-22,0.20053587908401826
1996-08-23,0.1947026348049764
1996-08-26,0.18886121571143186
1996-08-27,0.18448944360044017
1996-08-28,0.17981053028118235
1996-08-29,0.1809179991045667
1996-08-30,0.1833069229461888
1996-09-03,0.17691560360804812
1996-09-04,0.17090277235902293
1996-09-05,0.16525133948019907
1996-09-06,0.16291460707990552
1996-09-09,0.16055618829556215
1996-09-10,0.16190464971704796
1996-09-11,0.16484291067558837
1996-09-12,0.1620538466066141
1996-09-13,0.1673782243901518
1996-09-16,0.16194114486442288
1996-09-17,0.15744493437389467
1996-09-18,0.15462295457014139
1996-09-19,0.15203215173113876
1996-09-20,0.15388583677518863
1996-09-23,0.15860747435099015
1996-09-24,0.15371315558533044
1996-09-25,0.15119177477627546
1996-09-26,0.15313188315958243
1996-09-30,0.151067233376401
1996-10-01,0.14954679535182291
1996-10-02,0.14767918241918865
1996-10-03,0.14348240477494098
1996-10-04,0.14019391670111794
1996-10-07,0.13946390758902463
1996-10-08,0.1358100099403575
1996-10-09,0.13497217579931056
1996-10-10,0.13162293417182283
1996-10-11,0.1293991012333548
1996-10-14,0.13624378106908222
1996-10-15,0.1434130839219351
1996-10-16,0.14702503501104838
1996-10-17,0.1451927390746521
1996-10-18,0.14115844119286666
1996-10-21,0.13799080665029828
1996-10-22,0.15134989236864357
1996-10-23,0.151930875203166
1996-10-24,0.14925477037602516
1996-10-25,0.14679662216822295
1996-10-28,0.172854439341314
1996-10-29,0.16875505325767287
1996-10-30,0.1679201810384922
1996-10-31,0.1711581899880926
1996-11-01,0.16549126865185365
1996-11-05,0.16086375974718484
1996-11-06,0.16893952290686748
1996-11-07,0.1705513271716172
1996-11-08,0.16557271514352842
1996-11-11,0.1623989310309646
1996-11-12,0.1572682535033692
1996-11-13,0.15753498811375205
1996-11-14,0.15765208657039714
1996-11-15,0.16823263892598253
1996-11-18,0.1804081771982634
1996-11-19,0.17460876266671155
1996-11-20,0.1704454270433795
1996-11-21,0.1662300514347511
1996-11-22,0.16086328978359235
1996-11-25,0.16037456780923837
1996-11-26,0.1598216881402521
1996-11-27,0.15485141006784536
1996-11-29,0.15019397817489222
1996-12-02,0.14583436138304307
1996-12-03,0.1490166696715505
1996-12-04,0.1469764695452983
1996-12-05,0.14330684170687735
1996-12-06,0.19394919953431103
1996-12-09,0.18693896223099132
1996-12-10,0.1870326271001934
1996-12-11,0.23728364545412736
1996-12-12,0.22786262177022365
1996-12-13,0.2297114790340265
1996-12-16,0.2258689779496069
1996-12-17,0.21754830084374366
1996-12-18,0.2092067417651735
1996-12-19,0.20768965116249774
1996-12-20,0.20315140560675427
1996-12-23,0.19565586932162293
1996-12-24,0.19008071022594586
1996-12-26,0.1838254302320547
1996-12-27,0.1774036448329064
1996-12-30,0.17136176469679576
1996-12-31,0.18860492040241156
1997-01-02,0.20366269761544456
1997-01-03,0.20600616204376024
1997-01-06,0.20192916876964556
1997-01-07,0.1944629805387133
1997-01-08,0.1874231554531083
1997-01-09,0.20200615337162384
1997-01-10,0.19619915596148726
1997-01-13,0.18959193970208754
1997-01-14,0.18888830032588044
1997-01-15,0.22148807191359088
1997-01-16,0.21292887544905692
1997-01-17,0.20484408607523918
1997-01-20,0.19721295393558713
1997-01-21,0.19549042329485097
1997-01-22,0.2002314171152969
1997-01-23,0.1940666864765821
1997-01-24,0.21848732869436618
1997-01-27,0.2215589429474694
1997-01-28,0.21468210451735373
1997-01-29,0.2064997084743705
1997-01-30,0.20045770127385978
1997-01-31,0.19975789646469547
1997-02-03,0.19366268509963397
1997-02-04,0.18706846340310812
1997-02-05,0.18573859372785184
1997-02-06,0.18333262884713128
1997-02-07,0.17858525023080712
1997-02-10,0.20614575038064697
1997-02-11,0.1984411902806471
1997-02-12,0.195048224806072
1997-02-13,0.20910294402518584
1997-02-14,0.20693089281206903
1997-02-18,0.2115406088674229
1997-02-19,0.2618081282160659
1997-02-20,0.28336725781218974
1997-02-21,0.2715081545736702
1997-02-24,0.26164935772900344
1997-02-25,0.25122937169049325
1997-02-26,0.2671894720979852
1997-02-27,0.2573921607197857
1997-02-28,0.25094318400785465
1997-03-03,0.24078902300561794
1997-03-04,0.23418783999174678
1997-03-05,0.22933521927519118
1997-03-06,0.22069859628008512
1997-03-07,0.21336206691912224
1997-03-10,0.21736126057786836
1997-03-11,0.22123329496258015
1997-03-12,0.22376316855103745
1997-03-13,0.22756321583243633
1997-03-14,0.22255386314328493
1997-03-17,0.23532216470192516
1997-03-18,0.23183576083080884
1997-03-19,0.222710180279214
1997-03-20,0.26122866534896205
1997-03-21,0.26403129359983074
1997-03-24,0.2566355150792657
1997-03-25,0.2473152037380638
1997-03-26,0.2373547370498428
1997-03-27,0.24880924982805602
1997-03-31,0.28474668110445117
1997-04-01,0.2731648117895129
1997-04-02,0.27228099162446134
